type	id	monsters	produce	gold	tired	nightmare	consume	power
1	78	[{20,1},{22,3},{22,5},{21,8}]	[{2,2,2}]	930	5			15700
1	79	[{170,1},{169,4},{23,2},{171,7}]	[{2,2,2}]	940	5	20001		15900
1	80	[{20,1},{22,3},{22,6},{307,8}]	[{2,2,2}]	950	5			16100
1	81	[{170,1},{169,4},{23,2},{171,7}]	[{2,2,2}]	960	5			16300
1	82	[{20,1},{22,3},{22,5},{21,7}]	[{2,2,2}]	970	5			16500
1	83	[{20,1},{22,8},{22,5},{21,7}]	[{2,2,2}]	980	5	20001		16700
1	84	[{170,1},{169,4},{23,2},{171,7}]	[{2,2,2}]	990	5			16900
1	85	[{20,1},{22,3},{22,8},{21,5},{21,7}]	[{2,2,2}]	1000	5			17100
1	86	[{170,1},{169,5},{23,2},{171,7}]	[{2,2,2}]	1010	5			17300
1	87	[{20,1},{22,3},{22,8},{21,5},{21,7}]	[{2,2,2}]	1020	5	20001		17500
1	88	[{170,1},{169,4},{23,5},{171,7}]	[{2,2,2}]	1030	5			17700
1	89	[{170,1},{169,4},{23,2},{171,8}]	[{2,2,2}]	1040	5			17900
1	90	[{20,1},{20,3},{21,6},{308,8}]	[{2,2,2}]	1050	5	20001		18100
1	91	[{20,1},{22,3},{21,5},{21,7}]	[{2,2,2}]	1060	5			18300
1	92	[{21,2},{22,3},{23,5},{23,7}]	[{2,2,2}]	1070	5			18500
1	93	[{20,2},{20,3},{21,5},{20,7}]	[{2,2,2}]	1080	5			18700
1	94	[{23,1},{23,3},{23,5},{20,7}]	[{2,2,2}]	1090	5	20001		18900
1	95	[{23,1},{22,4},{21,5},{21,7}]	[{2,2,2}]	1100	5			19100
1	96	[{20,1},{23,4},{21,5},{23,7}]	[{2,2,2}]	1110	5			19300
1	97	[{20,1},{23,3},{23,6},{20,7}]	[{2,2,2}]	1120	5			19500
1	98	[{23,1},{20,3},{23,6},{20,7}]	[{2,2,2}]	1130	5	20001		19700
1	99	[{22,1},{22,3},{22,8},{23,7}]	[{2,2,2}]	1140	5			19900
1	100	[{309,2},{23,7},{23,8},{23,9}]	[{2,2,2}]	1150	5			20100
1	101	[{25,1},{174,3},{181,5},{181,7}]	[{2,2,2}]	1160	6			20300
1	102	[{26,1},{174,3},{181,5},{181,7}]	[{2,2,2}]	1170	6	20001		20500
1	103	[{173,1},{173,3},{172,5},{172,7}]	[{2,2,2}]	1180	6			20700
1	104	[{174,1},{175,3},{176,5},{176,7}]	[{2,2,2}]	1190	6			20900
1	105	[{173,1},{173,3},{172,5},{172,8}]	[{2,2,2}]	1200	6	20001		21100
1	106	[{174,1},{175,3},{176,5},{176,7}]	[{2,2,2}]	1210	6			21300
1	107	[{173,1},{173,3},{172,8},{172,7}]	[{2,2,2}]	1220	6			21500
1	108	[{173,4},{173,3},{172,5},{172,7}]	[{2,2,2}]	1230	6			21700
1	109	[{174,1},{175,3},{176,5},{176,7}]	[{2,2,2}]	1240	6	20001		21900
1	110	[{173,1},{173,3},{310,5},{172,7}]	[{2,2,2}]	1250	6			22100
1	111	[{174,1},{175,3},{176,5},{176,7}]	[{2,2,2}]	1260	6			22300
1	112	[{177,1},{177,4},{178,5},{178,7}]	[{2,2,2}]	1270	6			22500
1	113	[{177,1},{177,3},{178,5},{178,7}]	[{2,2,2}]	1280	6	20001		22700
1	114	[{174,1},{175,3},{176,8},{176,9}]	[{2,2,2}]	1290	6			22900
1	115	[{179,1},{179,3},{180,5},{180,7}]	[{2,2,2}]	1300	6			23100
1	116	[{179,1},{180,3},{179,5},{180,7}]	[{2,2,2}]	1310	6			23300
1	117	[{177,1},{177,3},{178,5},{178,7}]	[{2,2,2}]	1320	6	20001		23500
1	118	[{174,1},{175,3},{176,5},{176,7}]	[{2,2,2}]	1330	6			23700
1	119	[{179,1},{179,3},{180,5},{180,7}]	[{2,2,2}]	1340	6			23900
1	120	[{177,1},{177,2},{311,8},{178,6}]	[{2,2,2}]	1350	6	20001		24100
1	121	[{28,1},{182,3},{28,6},{182,8}]	[{2,2,2}]	1360	6			24300
1	122	[{28,1},{182,3},{28,6},{182,8}]	[{2,2,2}]	1370	6			24500
1	123	[{177,1},{177,3},{178,5},{178,7}]	[{2,2,2}]	1380	6			24700
1	124	[{28,1},{182,3},{28,6},{182,8}]	[{2,2,2}]	1390	6	20001		24900
1	125	[{179,1},{180,3},{27,5},{27,7}]	[{2,2,2}]	1400	6			25100
1	126	[{28,1},{182,3},{28,6},{182,8}]	[{2,2,2}]	1410	6			25300
1	127	[{179,1},{180,2},{27,4},{27,7}]	[{2,2,2}]	1420	6			25500
1	128	[{29,1},{29,3},{29,7},{29,9}]	[{2,2,2}]	1430	6	20001		25700
1	129	[{179,1},{180,9},{27,5},{27,7}]	[{2,2,2}]	1440	6			25900
1	130	[{312,8},{174,4},{174,2},{19,9},{19,1}]	[{2,2,2}]	1450	6			26100
1	131	[{179,1},{180,9},{27,5},{27,7}]	[{2,2,2}]	1460	6			26300
1	132	[{177,1},{177,3},{178,5},{178,7}]	[{2,2,2}]	1470	6	20001		26500
1	133	[{179,1},{180,2},{27,4},{27,7}]	[{2,2,2}]	1480	6			26700
1	134	[{28,1},{182,3},{28,6},{182,8}]	[{2,2,2}]	1490	6			26900
1	135	[{179,1},{180,3},{27,7},{27,9}]	[{2,2,2}]	1500	6	20001		27100
1	136	[{183,1},{183,2},{184,7},{184,9}]	[{2,2,2}]	1510	6			27300
1	137	[{183,1},{183,4},{184,7},{184,9}]	[{2,2,2}]	1520	6			27500
1	138	[{179,1},{180,2},{27,4},{27,7}]	[{2,2,2}]	1530	6			27700
1	139	[{183,1},{183,5},{184,8},{184,9}]	[{2,2,2}]	1540	6	20001		27900
1	140	[{312,8},{182,3},{182,4},{182,1}]	[{2,2,2}]	1550	6			28100
1	141	[{183,1},{183,3},{184,7},{184,9}]	[{2,2,2}]	1560	6			28300
1	142	[{187,1},{187,3},{188,7},{188,9}]	[{2,2,2}]	1570	6			28500
1	143	[{187,1},{187,5},{188,8},{188,9}]	[{2,2,2}]	1580	6	20001		28700
1	144	[{187,1},{187,3},{188,7},{188,9}]	[{2,2,2}]	1590	6			28900
1	145	[{183,1},{183,3},{184,7},{184,9}]	[{2,2,2}]	1600	6			29100
1	146	[{183,6},{183,3},{184,7},{184,9}]	[{2,2,2}]	1610	6			29300
1	147	[{183,1},{183,3},{184,7},{184,9}]	[{2,2,2}]	1620	6	20001		29500
1	148	[{183,1},{183,3},{184,8},{184,9}]	[{2,2,2}]	1630	6			29700
1	149	[{183,1},{183,3},{184,7},{184,9}]	[{2,2,2}]	1640	6			29900
1	150	[{184,1},{184,3},{189,5},{184,7},{184,9}]	[{2,2,2}]	1650	6	20001		30100
1	151	[{190,1},{191,3},{192,7},{192,9}]	[{2,2,3}]	1660	6			30300
1	152	[{183,1},{183,3},{184,8},{184,9}]	[{2,2,3}]	1670	6			30500
1	153	[{190,3},{191,4},{192,7},{192,9}]	[{2,2,3}]	1680	6			30700
1	154	[{183,1},{183,3},{184,8},{184,9}]	[{2,2,3}]	1690	6	20001		30900
1	155	[{190,2},{191,5},{192,7},{192,9}]	[{2,2,3}]	1700	6			31100
1	156	[{31,1},{31,3},{31,7},{31,8}]	[{2,2,3}]	1710	6			31300
1	157	[{190,1},{191,3},{192,7},{192,9}]	[{2,2,3}]	1720	6			31500
1	158	[{192,1},{192,5},{192,4},{192,8}]	[{2,2,3}]	1730	6	20001		31700
1	159	[{31,1},{31,3},{31,7},{31,8}]	[{2,2,3}]	1740	6			31900
1	160	[{192,1},{192,5},{192,4},{313,8}]	[{2,2,3}]	1750	6			32100
1	161	[{190,1},{191,3},{192,7},{192,9}]	[{2,2,3}]	1760	6			32300
1	162	[{195,1},{196,3},{195,7},{196,9}]	[{2,2,3}]	1770	6	20001		32500
1	163	[{31,1},{31,3},{31,5},{31,7}]	[{2,2,3}]	1780	6			32700
1	164	[{190,1},{191,3},{192,7},{192,9}]	[{2,2,3}]	1790	6			32900
1	165	[{31,1},{31,2},{31,5},{31,7}]	[{2,2,3}]	1800	6	20001		33100
1	166	[{191,1},{191,3},{191,5},{191,7},{191,9}]	[{2,2,3}]	1810	6			33300
1	167	[{31,1},{31,4},{31,5},{31,7}]	[{2,2,3}]	1820	6			33500
1	168	[{190,1},{191,2},{192,7},{192,9}]	[{2,2,3}]	1830	6			33700
1	169	[{190,1},{191,3},{192,8},{192,9}]	[{2,2,3}]	1840	6	20001		33900
1	170	[{197,2},{33,7},{316,8},{33,6}]	[{2,2,3}]	1850	6			34100
1	171	[{31,1},{31,2},{31,5},{31,7}]	[{2,2,3}]	1860	6			34300
1	172	[{195,1},{196,3},{195,5},{196,7}]	[{2,2,3}]	1870	6			34500
1	173	[{31,1},{31,4},{31,5},{31,7}]	[{2,2,3}]	1880	6	20001		34700
1	174	[{173,1},{173,3},{195,5},{196,7}]	[{2,2,3}]	1890	6			34900
1	175	[{31,1},{31,4},{31,2},{31,7}]	[{2,2,3}]	1900	6			35100
1	176	[{195,1},{196,3},{195,5},{196,7}]	[{2,2,3}]	1910	6			35300
1	177	[{195,1},{195,3},{196,7},{196,9}]	[{2,2,3}]	1920	6	20001		35500
1	178	[{200,1},{196,3},{33,5},{33,7}]	[{2,2,3}]	1930	6			35700
1	179	[{195,1},{195,3},{196,7},{196,9}]	[{2,2,3}]	1940	6			35900
1	180	[{197,1},{197,3},{314,5},{197,7}]	[{2,2,3}]	1950	6	20001		36100
1	181	[{200,1},{200,3},{196,5},{196,7}]	[{2,2,3}]	1960	6			36300
1	182	[{195,1},{195,3},{196,7},{196,9}]	[{2,2,3}]	1970	6			36500
1	183	[{195,1},{195,4},{196,7},{196,9}]	[{2,2,3}]	1980	6			36700
1	184	[{200,1},{200,3},{196,5},{196,7}]	[{2,2,3}]	1990	6	20001		36900
1	185	[{195,1},{195,2},{196,7},{196,9}]	[{2,2,3}]	2000	6			37100
1	186	[{200,1},{200,3},{196,5},{196,7}]	[{2,2,3}]	2010	6			37300
1	187	[{195,1},{195,2},{196,7},{196,9}]	[{2,2,3}]	2020	6			37500
1	188	[{199,1},{199,3},{199,5},{199,7},{199,9}]	[{2,2,3}]	2030	6	20001		37700
1	189	[{195,1},{195,6},{196,7},{196,9}]	[{2,2,3}]	2040	6			37900
1	190	[{199,1},{199,3},{315,5},{199,7},{199,9}]	[{2,2,3}]	2050	6			38100
1	191	[{195,1},{195,3},{196,7},{196,9}]	[{2,2,3}]	2060	6			38300
1	192	[{199,1},{199,3},{199,5},{199,7},{199,9}]	[{2,2,3}]	2070	6	20001		38500
1	193	[{195,8},{195,3},{196,7},{196,9}]	[{2,2,3}]	2080	6			38700
1	194	[{200,1},{200,4},{196,5},{196,7}]	[{2,2,3}]	2090	6			38900
1	195	[{197,1},{197,3},{198,7},{198,9}]	[{2,2,3}]	2100	6	20001		39100
1	196	[{200,1},{200,4},{196,5},{196,7}]	[{2,2,3}]	2110	6			39300
1	197	[{34,1},{34,3},{34,5}]	[{2,2,3}]	2120	6			39500
1	198	[{197,1},{197,3},{198,7},{198,9}]	[{2,2,3}]	2130	6			39700
1	199	[{34,1},{34,4},{34,5},{34,7}]	[{2,2,3}]	2140	6	20001		39900
1	200	[{172,1},{172,3},{317,5},{35,7},{35,9}]	[{2,2,3}]	2150	6			40100
1	201	[{202,1},{203,3},{204,5},{37,7}]	[{2,2,3}]	2160	7			40300
1	202	[{203,1},{203,3},{203,5},{203,7},{203,9}]	[{2,2,3}]	2170	7			40500
1	203	[{202,1},{203,4},{204,5},{37,7}]	[{2,2,3}]	2180	7	20001		40700
1	204	[{203,1},{203,3},{203,5},{203,7},{203,9}]	[{2,2,3}]	2190	7			40900
1	205	[{202,1},{203,6},{204,5},{37,7}]	[{2,2,3}]	2200	7			41100
1	206	[{36,1},{36,3},{36,5},{36,9}]	[{2,2,3}]	2210	7			41300
1	207	[{36,1},{36,3},{36,5},{36,9}]	[{2,2,3}]	2220	7	20001		41500
1	208	[{202,1},{203,6},{204,5},{37,7}]	[{2,2,3}]	2230	7			41700
1	209	[{204,1},{204,3},{204,7},{204,9}]	[{2,2,3}]	2240	7			41900
1	210	[{202,1},{202,3},{318,5},{202,7}]	[{2,2,3}]	2250	7	20001		42100
1	211	[{36,1},{36,3},{36,7},{36,9}]	[{2,2,3}]	2260	7			42300
1	212	[{202,1},{203,2},{204,6},{37,7}]	[{2,2,3}]	2270	7			42500
1	213	[{36,1},{36,3},{36,7},{36,9}]	[{2,2,3}]	2280	7			42700
1	214	[{202,1},{203,3},{204,8},{37,7}]	[{2,2,3}]	2290	7	20001		42900
1	215	[{36,1},{36,3},{36,7},{36,9}]	[{2,2,3}]	2300	7			43100
1	216	[{202,1},{203,3},{204,8},{37,7}]	[{2,2,3}]	2310	7			43300
1	217	[{36,2},{36,4},{36,8},{36,9}]	[{2,2,3}]	2320	7			43500
1	218	[{202,1},{203,3},{204,8},{37,7}]	[{2,2,3}]	2330	7	20001		43700
1	219	[{202,1},{203,3},{204,5},{37,7}]	[{2,2,3}]	2340	7			43900
1	220	[{38,1},{38,3},{319,5},{36,7},{36,9}]	[{2,2,3}]	2350	7			44100
1	221	[{202,1},{203,3},{204,5},{37,7}]	[{2,2,3}]	2360	7			44300
1	222	[{36,1},{36,4},{36,6},{36,9}]	[{2,2,3}]	2370	7	20001		44500
1	223	[{205,1},{205,3},{205,7},{205,9}]	[{2,2,3}]	2380	7			44700
1	224	[{202,2},{203,4},{204,5},{37,7}]	[{2,2,3}]	2390	7			44900
1	225	[{36,1},{36,3},{36,7},{36,9}]	[{2,2,3}]	2400	7	20001		45100
1	226	[{205,1},{205,3},{205,7},{205,9}]	[{2,2,4}]	2410	7			45300
1	227	[{40,1},{40,3},{39,5},{39,7}]	[{2,2,4}]	2420	7			45500
1	228	[{205,1},{205,3},{205,7},{205,9}]	[{2,2,4}]	2430	7			45700
1	229	[{40,1},{40,3},{39,5},{39,7}]	[{2,2,4}]	2440	7	20001		45900
1	230	[{205,1},{205,3},{205,8},{319,5}]	[{2,2,4}]	2450	7			46100
1	231	[{40,1},{40,3},{39,5},{39,7}]	[{2,2,4}]	2460	7			46300
1	232	[{39,1},{40,3},{39,5},{40,7}]	[{2,2,4}]	2470	7			46500
1	233	[{205,1},{205,3},{205,8},{319,5}]	[{2,2,4}]	2480	7	20001		46700
1	234	[{40,1},{40,3},{39,5},{39,7}]	[{2,2,4}]	2490	7			46900
1	235	[{40,1},{40,3},{39,6},{39,7}]	[{2,2,4}]	2500	7			47100
1	236	[{39,1},{40,3},{39,5},{40,7}]	[{2,2,4}]	2510	7			47300
1	237	[{40,2},{40,4},{39,5},{39,7}]	[{2,2,4}]	2520	7	20001		47500
1	238	[{41,1},{41,3},{37,5},{37,7}]	[{2,2,4}]	2530	7			47700
1	239	[{40,2},{40,3},{39,8},{39,7}]	[{2,2,4}]	2540	7			47900
1	240	[{39,1},{39,3},{320,5},{39,7},{39,9}]	[{2,2,4}]	2550	7	20001		48100
1	241	[{41,1},{41,3},{37,5},{37,7}]	[{2,2,4}]	2560	7			48300
1	242	[{40,2},{40,3},{39,8},{39,7}]	[{2,2,4}]	2570	7			48500
1	243	[{204,1},{204,3},{204,5},{204,7}]	[{2,2,4}]	2580	7			48700
1	244	[{41,2},{41,3},{37,8},{37,7}]	[{2,2,4}]	2590	7	20001		48900
1	245	[{41,3},{41,7},{37,5},{37,9}]	[{2,2,4}]	2600	7			49100
1	246	[{204,1},{204,3},{204,5},{204,7}]	[{2,2,4}]	2610	7			49300
1	247	[{204,2},{204,3},{204,5},{204,7}]	[{2,2,4}]	2620	7			49500
1	248	[{41,3},{41,4},{37,5},{37,9}]	[{2,2,4}]	2630	7	20001		49700
1	249	[{204,1},{204,6},{204,5},{204,7}]	[{2,2,4}]	2640	7			49900
1	250	[{42,1},{42,3},{321,5}]	[{2,2,4}]	2650	7			50100
1	251	[{211,1},{208,3},{209,5},{210,7}]	[{2,2,4}]	2660	7			50300
1	252	[{211,1},{208,2},{209,5},{210,7}]	[{2,2,4}]	2670	7	20001		50500
1	253	[{211,1},{208,4},{209,5},{210,7}]	[{2,2,4}]	2680	7			50700
1	254	[{211,2},{208,8},{209,5},{210,7}]	[{2,2,4}]	2690	7			50900
1	255	[{211,1},{208,3},{209,5},{210,7}]	[{2,2,4}]	2700	7	20001		51100
1	256	[{212,4},{212,3},{212,5},{212,7}]	[{2,2,4}]	2710	7			51300
1	257	[{205,3},{205,4},{205,5},{205,7}]	[{2,2,4}]	2720	7			51500
1	258	[{205,1},{205,3},{205,5},{205,7}]	[{2,2,4}]	2730	7			51700
1	259	[{205,8},{205,2},{205,5},{205,7}]	[{2,2,4}]	2740	7	20001		51900
1	260	[{42,1},{42,3},{43,5},{42,7}]	[{2,2,4}]	2750	7			52100
1	261	[{211,1},{208,3},{209,5},{210,7}]	[{2,2,4}]	2760	7			52300
1	262	[{211,2},{208,3},{209,5},{210,7}]	[{2,2,4}]	2770	7			52500
1	263	[{205,2},{205,3},{205,5},{205,7}]	[{2,2,4}]	2780	7	20001		52700
1	264	[{211,2},{208,4},{209,5},{210,7}]	[{2,2,4}]	2790	7			52900
1	265	[{205,4},{205,3},{205,5},{205,7}]	[{2,2,4}]	2800	7			53100
1	266	[{211,1},{208,4},{209,8},{210,7}]	[{2,2,4}]	2810	7			53300
1	267	[{205,2},{205,4},{205,8},{205,7}]	[{2,2,4}]	2820	7	20001		53500
1	268	[{211,4},{208,3},{209,6},{210,7}]	[{2,2,4}]	2830	7			53700
1	269	[{205,8},{205,3},{205,5},{205,7}]	[{2,2,4}]	2840	7			53900
1	270	[{212,1},{212,3},{322,5},{212,7},{212,9}]	[{2,2,4}]	2850	7	20001		54100
1	271	[{44,1},{44,3},{44,5},{44,7},{44,9}]	[{2,2,4}]	2860	7			54300
1	272	[{205,2},{205,3},{205,5},{205,7}]	[{2,2,4}]	2870	7			54500
1	273	[{213,1},{213,3},{210,5},{214,9}]	[{2,2,4}]	2880	7			54700
1	274	[{44,2},{44,4},{44,5},{44,7},{44,9}]	[{2,2,4}]	2890	7	20001		54900
1	275	[{213,1},{213,3},{210,5},{214,9}]	[{2,2,4}]	2900	7			55100
1	276	[{46,1},{213,3},{210,5},{214,9}]	[{2,2,4}]	2910	7			55300
1	277	[{213,4},{213,3},{210,5},{214,9}]	[{2,2,4}]	2920	7			55500
1	278	[{45,2},{213,3},{210,5},{214,9}]	[{2,2,4}]	2930	7	20001		55700
1	279	[{213,1},{213,3},{210,8},{214,9}]	[{2,2,4}]	2940	7			55900
1	280	[{213,1},{213,7},{323,5},{214,9}]	[{2,2,4}]	2950	7			56100
1	281	[{45,8},{213,3},{210,5},{214,9}]	[{2,2,4}]	2960	7			56300
1	282	[{46,1},{213,3},{210,5},{214,9}]	[{2,2,4}]	2970	7	20001		56500
1	283	[{45,8},{213,3},{210,5},{214,9}]	[{2,2,4}]	2980	7			56700
1	284	[{46,1},{213,3},{210,5},{214,9}]	[{2,2,4}]	2990	7			56900
1	285	[{46,2},{213,4},{210,5},{214,9}]	[{2,2,4}]	3000	7	20001		57100
1	286	[{45,8},{213,3},{210,5},{214,9}]	[{2,2,4}]	3010	7			57300
1	287	[{46,1},{46,3},{46,5},{46,7}]	[{2,2,4}]	3020	7			57500
1	288	[{213,2},{213,5},{210,8},{214,9}]	[{2,2,4}]	3030	7			57700
1	289	[{46,4},{46,3},{46,5},{46,7}]	[{2,2,4}]	3040	7	20001		57900
1	290	[{46,1},{46,3},{324,5}]	[{2,2,4}]	3050	7			58100
1	291	[{213,1},{213,3},{210,5},{214,9}]	[{2,2,4}]	3060	7			58300
1	292	[{213,2},{213,4},{214,5},{214,9}]	[{2,2,4}]	3070	7			58500
1	293	[{46,1},{46,3},{45,5},{45,9}]	[{2,2,4}]	3080	7	20001		58700
1	294	[{213,1},{213,3},{214,5},{214,9}]	[{2,2,4}]	3090	7			58900
1	295	[{213,2},{213,8},{214,5},{214,9}]	[{2,2,4}]	3100	7			59100
1	296	[{46,1},{45,3},{46,5},{45,9}]	[{2,2,4}]	3110	7			59300
1	297	[{46,1},{45,3},{46,5},{214,9}]	[{2,2,4}]	3120	7	20001		59500
1	298	[{213,1},{213,3},{210,5},{214,9}]	[{2,2,4}]	3130	7			59700
1	299	[{213,2},{213,4},{210,5},{214,9}]	[{2,2,4}]	3140	7			59900
1	300	[{46,1},{46,3},{324,5}]	[{2,2,4}]	3150	7	20001		60100
1	301	[{215,1},{218,3},{217,5},{216,7}]	[{2,2,5}]	3160	8			60300
1	302	[{255,2},{255,3},{258,5},{258,7}]	[{2,2,5}]	3170	8			60500
1	303	[{215,1},{218,4},{217,5},{216,7}]	[{2,2,5}]	3180	8			60700
1	304	[{255,1},{258,3},{256,5},{256,7}]	[{2,2,5}]	3190	8	20001		60900
1	305	[{258,1},{258,3},{256,6},{256,7}]	[{2,2,5}]	3200	8			61100
1	306	[{215,1},{218,3},{217,8},{216,7}]	[{2,2,5}]	3210	8			61300
