type	picture	name	phase	sort	tab	seat	quality	strenthenCoinFactor	strenthenSuccessFactor	strenthenSuccessFactor	limitLevel	Price	attack	hp	defend	puncture	hit	dodge	crit	critPercentage	anitCrit	toughness	state	desc	maxSocket	limitHero	avatar
101017	icon_101017	台风	5	1	5	1	2	0.55	1.85	1.85	25	1900	180	630	60	60	60	60	60	60	60	0	0	三阶2级长剑，22级可以使用，可以通过合成获得	2		weapon_101017
101018	icon_101017	台风	5	1	5	1	2	0.6	1.7	1.7	26	2000	186	651	62	62	62	62	62	62	62	0	0	三阶3级长剑，23级可以使用，可以在祖尔神迹中低级副本中获得	2		weapon_101017
101019	icon_101017	台风	5	1	5	1	3	0.65	1.55	1.55	27	2100	216	756	72	72	72	72	72	72	72	0	0	三阶4级长剑，24级可以使用，可以通过合成获得	3		weapon_101017
101020	icon_101021	屠戮者	6	1	5	1	3	0.7	1.4	1.4	28	2200	210	735	70	70	70	70	70	70	70	0	0	三阶5级长剑，25级可以使用，可以在祖尔神迹中高级副本中获得	3		weapon_101021
101021	icon_101021	屠戮者	6	1	5	1	4	0.75	1.25	1.25	29	2300	222	777	74	74	74	74	74	74	74	0	0	三阶6级长剑，26级可以使用，可以通过合成获得	4		weapon_101021
101022	icon_101021	屠戮者	6	1	5	1	4	0.8	1.1	1.1	30	2400	228	798	76	76	76	76	76	76	76	0	0	三阶7级长剑，27级可以使用，可以在祖尔神迹高级副本中获得	4		weapon_101021
101023	icon_101021	屠戮者	6	1	5	1	5	0.85	0.95	0.95	31	2500	240	840	80	80	80	80	80	80	80	0	0	三阶8级长剑，28级可以使用，可以通过合成获得	5		weapon_101021
101024	icon_101025	黑曜石之刃	7	1	5	1	1	0.7	1.5	1.5	32	2600	228	798	76	76	76	76	76	76	76	0	0	四阶1级长剑，29级可以使用，可以在主线或者厄运王国低级副本中获得	1		weapon_101025
101025	icon_101025	黑曜石之刃	7	1	5	1	2	0.75	1.4	1.4	33	2700	240	840	80	80	80	80	80	80	80	0	0	四阶2级长剑，30级可以使用，可以通过合成获得	2		weapon_101025
101026	icon_101025	黑曜石之刃	7	1	5	1	2	0.8	1.3	1.3	34	2800	246	861	82	82	82	82	82	82	82	0	0	四阶3级长剑，31级可以使用，可以在厄运王国中低级副本中获得	2		weapon_101025
101027	icon_101025	黑曜石之刃	7	1	5	1	3	0.85	1.2	1.2	35	2900	276	966	92	92	92	92	92	92	92	0	0	四阶4级长剑，32级可以使用，可以通过合成获得	3		weapon_101025
101028	icon_101029	辛洛斯	8	1	5	1	3	0.9	1.1	1.1	36	3000	270	945	90	90	90	90	90	90	90	0	0	四阶5级长剑，33级可以使用，可以在厄运王国中高级副本中获得	3		weapon_101029
101029	icon_101029	辛洛斯	8	1	5	1	4	0.95	1	1	37	3100	282	987	94	94	94	94	94	94	94	0	0	四阶6级长剑，34级可以使用，可以通过合成获得	4		weapon_101029
101030	icon_101029	辛洛斯	8	1	5	1	4	1	0.9	0.9	38	3200	288	1008	96	96	96	96	96	96	96	0	0	四阶7级长剑，35级可以使用，可以在厄运王国高级副本中获得	4		weapon_101029
101031	icon_101029	辛洛斯	8	1	5	1	5	1.05	0.8	0.8	39	3300	300	1050	100	100	100	100	100	100	100	0	0	四阶8级长剑，36级可以使用，可以通过合成获得	5		weapon_101029
101032	icon_101033	狂野之刃	9	1	5	1	1	0.9	1.2	1.2	40	3400	282	987	94	94	94	94	94	94	94	0	0	五阶1级长剑，37级可以使用，可以在主线或者斯坦索姆低级副本中获得	1		weapon_101033
101033	icon_101033	狂野之刃	9	1	5	1	2	0.95	1.1	1.1	41	3500	294	1029	98	98	98	98	98	98	98	0	0	五阶2级长剑，38级可以使用，可以通过合成获得	2		weapon_101033
101034	icon_101033	狂野之刃	9	1	5	1	2	1	1	1	42	3600	300	1050	100	100	100	100	100	100	100	0	0	五阶3级长剑，39级可以使用，可以在斯坦索姆中低级副本中获得	2		weapon_101033
101035	icon_101033	狂野之刃	9	1	5	1	3	1.05	0.9	0.9	43	3700	306	1071	102	102	102	102	102	102	102	0	0	五阶4级长剑，40级可以使用，可以通过合成获得	3		weapon_101033
101036	icon_101037	复仇者	10	1	5	1	3	1.1	0.8	0.8	44	3800	306	1071	102	102	102	102	102	102	102	0	0	五阶5级长剑，41级可以使用，可以在斯坦索姆中高级副本中获得	3		weapon_101037
101037	icon_101037	复仇者	10	1	5	1	4	1.15	0.7	0.7	45	3900	318	1113	106	106	106	106	106	106	106	0	0	五阶6级长剑，42级可以使用，可以通过合成获得	4		weapon_101037
101038	icon_101037	复仇者	10	1	5	1	4	1.2	0.6	0.6	46	4000	324	1134	108	108	108	108	108	108	108	0	0	五阶7级长剑，43级可以使用，可以在斯坦索姆高级副本中获得	4		weapon_101037
101039	icon_101037	复仇者	10	1	5	1	5	1.25	0.5	0.5	47	4100	330	1155	110	110	110	110	110	110	110	0	0	五阶8级长剑，44级可以使用，可以通过合成获得	5		weapon_101037
101040	icon_101041	兄弟会之剑	11	1	5	1	1	1.1	1	1	48	4200	312	1092	104	104	104	104	104	104	104	0	0	六阶1级长剑，45级可以使用，可以在主线或者黑石之翼低级副本中获得	1		weapon_101041
101041	icon_101041	兄弟会之剑	11	1	5	1	2	1.15	0.92	0.92	49	4300	324	1134	108	108	108	108	108	108	108	0	0	六阶2级长剑，46级可以使用，可以通过合成获得	2		weapon_101041
101042	icon_101041	兄弟会之剑	11	1	5	1	2	1.2	0.84	0.84	50	4400	330	1155	110	110	110	110	110	110	110	0	0	六阶3级长剑，47级可以使用，可以在黑石之翼中低级副本中获得	2		weapon_101041
101043	icon_101041	兄弟会之剑	11	1	5	1	3	1.25	0.76	0.76	51	4500	342	1197	114	114	114	114	114	114	114	0	0	六阶4级长剑，48级可以使用，可以通过合成获得	3		weapon_101041
101044	icon_101045	灰烬使者	12	1	5	1	3	1.3	0.68	0.68	52	4600	336	1176	112	112	112	112	112	112	112	0	0	六阶5级长剑，49级可以使用，可以在黑石之翼中高级副本中获得	3		weapon_101045
101045	icon_101045	灰烬使者	12	1	5	1	4	1.35	0.6	0.6	53	4700	342	1197	114	114	114	114	114	114	114	0	0	六阶6级长剑，50级可以使用，可以通过合成获得	4		weapon_101045
101046	icon_101045	灰烬使者	12	1	5	1	4	1.4	0.52	0.52	54	4800	348	1218	116	116	116	116	116	116	116	0	0	六阶7级长剑，51级可以使用，可以在黑石之翼高级副本中获得	4		weapon_101045
101047	icon_101045	灰烬使者	12	1	5	1	5	1.45	0.44	0.44	55	4900	360	1260	120	120	120	120	120	120	120	0	0	六阶8级长剑，52级可以使用，可以通过合成获得	5		weapon_101045
201001	icon_201001	督军之剑	2	1	5	1	4	1.3	0.83	0.83	35	2200	210	735	70	70	70	70	70	70	70	42	0	战场一节1级长剑，35级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_201001
201002	icon_201001	督军之剑	4	1	5	1	4	1.35	0.78	0.78	40	2600	228	798	76	76	76	76	76	76	76	60	0	战场一节2级长剑，45级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_201001
201003	icon_201001	督军之剑	6	1	5	1	4	1.4	0.46	0.6	45	3400	282	987	94	94	94	94	94	94	94	80	0	战场一节3级长剑，55级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_201001
201004	icon_201002	王者之刃	8	1	5	1	4	1.45	0.4	0.55	50	4200	312	1092	104	104	104	104	104	104	104	100	0	战场二节1级长剑，56级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_201002
201005	icon_201002	王者之刃	10	1	5	1	4	1.5	0.34	0.5	58	4900	360	1260	120	120	120	120	120	120	120	110	0	战场二节2级长剑，60级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_201002
201006	icon_201002	王者之刃	12	1	5	1	5	1.55	0.28	0.4	60	4900	360	1260	120	120	120	120	120	120	120	120	0	战场二节3级长剑，60级可以使用，附有韧性属性，可以通过战场兑换获得	5		weapon_201002
102001	icon_102001	监护者	1	2	5	1	1	0.1	3	3	2	200	60	210	20	20	20	20	20	20	20	0	0	一阶1级锤子，1级可以使用，可以在主线或者银牙城堡低级副本中获得	1		weapon_102001
102002	icon_102001	监护者	1	2	5	1	2	0.15	2.8	2.8	4	300	72	252	24	24	24	24	24	24	24	0	0	一阶2级锤子，3级可以使用，可以通过合成获得	2		weapon_102001
102003	icon_102001	监护者	1	2	5	1	2	0.2	2.6	2.6	6	400	78	273	26	26	26	26	26	26	26	0	0	一阶3级锤子，5级可以使用，可以在银牙城堡中低级副本中获得	2		weapon_102001
102004	icon_102001	监护者	1	2	5	1	3	0.25	2.4	2.4	8	500	108	378	36	36	36	36	36	36	36	0	0	一阶4级锤子，7级可以使用，可以通过合成获得	3		weapon_102001
102005	icon_102005	技艺之锤	2	2	5	1	3	0.3	2.2	2.2	10	600	96	336	32	32	32	32	32	32	32	0	0	一阶5级锤子，9级可以使用，可以在银牙城堡中高级副本中获得	3		weapon_102005
102006	icon_102005	技艺之锤	2	2	5	1	4	0.35	2	2	12	700	108	378	36	36	36	36	36	36	36	0	0	一阶6级锤子，10级可以使用，可以通过合成获得	4		weapon_102005
102007	icon_102005	技艺之锤	2	2	5	1	4	0.4	1.8	1.8	14	800	114	399	38	38	38	38	38	38	38	0	0	一阶7级锤子，11级可以使用，可以在银牙城堡高级副本中获得	4		weapon_102005
102008	icon_102005	技艺之锤	2	2	5	1	5	0.45	1.6	1.6	15	900	126	441	42	42	42	42	42	42	42	0	0	一阶8级锤子，12级可以使用，可以通过合成获得	5		weapon_102005
102009	icon_102009	北风	3	2	5	1	1	0.3	2.5	2.5	16	1000	114	399	38	38	38	38	38	38	38	0	0	二阶1级锤子，13级可以使用，可以在主线或者血色教堂低级副本中获得	1		weapon_102009
102010	icon_102009	北风	3	2	5	1	2	0.35	2.3	2.3	17	1100	126	441	42	42	42	42	42	42	42	0	0	二阶2级锤子，14级可以使用，可以通过合成获得	2		weapon_102009
102011	icon_102009	北风	3	2	5	1	2	0.4	2.1	2.1	18	1200	132	462	44	44	44	44	44	44	44	0	0	二阶3级锤子，15级可以使用，可以在血色教堂中低级副本中获得	2		weapon_102009
102012	icon_102009	北风	3	2	5	1	3	0.45	1.9	1.9	19	1300	162	567	54	54	54	54	54	54	54	0	0	二阶4级锤子，16级可以使用，可以通过合成获得	3		weapon_102009
102013	icon_102013	反对者	4	2	5	1	3	0.5	1.7	1.7	20	1400	150	525	50	50	50	50	50	50	50	0	0	二阶5级锤子，17级可以使用，可以在血色教堂中高级副本中获得	3		weapon_102013
102014	icon_102013	反对者	4	2	5	1	4	0.55	1.5	1.5	21	1500	162	567	54	54	54	54	54	54	54	0	0	二阶6级锤子，18级可以使用，可以通过合成获得	4		weapon_102013
102015	icon_102013	反对者	4	2	5	1	4	0.6	1.3	1.3	22	1600	168	588	56	56	56	56	56	56	56	0	0	二阶7级锤子，19级可以使用，可以在血色教堂高级副本中获得	4		weapon_102013
102016	icon_102013	反对者	4	2	5	1	5	0.65	1.1	1.1	23	1700	180	630	60	60	60	60	60	60	60	0	0	二阶8级锤子，20级可以使用，可以通过合成获得	5		weapon_102013
102017	icon_102017	爱德华之手	5	2	5	1	1	0.5	2	2	24	1800	168	588	56	56	56	56	56	56	56	0	0	三阶1级锤子，21级可以使用，可以在主线或者祖尔神迹低级副本中获得	1		weapon_102017
102018	icon_102017	爱德华之手	5	2	5	1	2	0.55	1.85	1.85	25	1900	180	630	60	60	60	60	60	60	60	0	0	三阶2级锤子，22级可以使用，可以通过合成获得	2		weapon_102017
102019	icon_102017	爱德华之手	5	2	5	1	2	0.6	1.7	1.7	26	2000	186	651	62	62	62	62	62	62	62	0	0	三阶3级锤子，23级可以使用，可以在祖尔神迹中低级副本中获得	2		weapon_102017
102020	icon_102017	爱德华之手	5	2	5	1	3	0.65	1.55	1.55	27	2100	216	756	72	72	72	72	72	72	72	0	0	三阶4级锤子，24级可以使用，可以通过合成获得	3		weapon_102017
102021	icon_102021	无坚不摧	6	2	5	1	3	0.7	1.4	1.4	28	2200	210	735	70	70	70	70	70	70	70	0	0	三阶5级锤子，25级可以使用，可以在祖尔神迹中高级副本中获得	3		weapon_102021
102022	icon_102021	无坚不摧	6	2	5	1	4	0.75	1.25	1.25	29	2300	222	777	74	74	74	74	74	74	74	0	0	三阶6级锤子，26级可以使用，可以通过合成获得	4		weapon_102021
102023	icon_102021	无坚不摧	6	2	5	1	4	0.8	1.1	1.1	30	2400	228	798	76	76	76	76	76	76	76	0	0	三阶7级锤子，27级可以使用，可以在祖尔神迹高级副本中获得	4		weapon_102021
102024	icon_102021	无坚不摧	6	2	5	1	5	0.85	0.95	0.95	31	2500	240	840	80	80	80	80	80	80	80	0	0	三阶8级锤子，28级可以使用，可以通过合成获得	5		weapon_102021
102025	icon_102025	苍穹击碎者	7	2	5	1	1	0.7	1.5	1.5	32	2600	228	798	76	76	76	76	76	76	76	0	0	四阶1级锤子，29级可以使用，可以在主线或者厄运王国低级副本中获得	1		weapon_102025
102026	icon_102025	苍穹击碎者	7	2	5	1	2	0.75	1.4	1.4	33	2700	240	840	80	80	80	80	80	80	80	0	0	四阶2级锤子，30级可以使用，可以通过合成获得	2		weapon_102025
102027	icon_102025	苍穹击碎者	7	2	5	1	2	0.8	1.3	1.3	34	2800	246	861	82	82	82	82	82	82	82	0	0	四阶3级锤子，31级可以使用，可以在厄运王国中低级副本中获得	2		weapon_102025
102028	icon_102025	苍穹击碎者	7	2	5	1	3	0.85	1.2	1.2	35	2900	276	966	92	92	92	92	92	92	92	0	0	四阶4级锤子，32级可以使用，可以通过合成获得	3		weapon_102025
102029	icon_102029	光环石锤	8	2	5	1	3	0.9	1.1	1.1	36	3000	270	945	90	90	90	90	90	90	90	0	0	四阶5级锤子，33级可以使用，可以在厄运王国中高级副本中获得	3		weapon_102029
102030	icon_102029	光环石锤	8	2	5	1	4	0.95	1	1	37	3100	282	987	94	94	94	94	94	94	94	0	0	四阶6级锤子，34级可以使用，可以通过合成获得	4		weapon_102029
102031	icon_102029	光环石锤	8	2	5	1	4	1	0.9	0.9	38	3200	288	1008	96	96	96	96	96	96	96	0	0	四阶7级锤子，35级可以使用，可以在厄运王国高级副本中获得	4		weapon_102029
102032	icon_102029	光环石锤	8	2	5	1	5	1.05	0.8	0.8	39	3300	300	1050	100	100	100	100	100	100	100	0	0	四阶8级锤子，36级可以使用，可以通过合成获得	5		weapon_102029
102033	icon_102033	黑手	9	2	5	1	1	0.9	1.2	1.2	40	3400	282	987	94	94	94	94	94	94	94	0	0	五阶1级锤子，37级可以使用，可以在主线或者斯坦索姆低级副本中获得	1		weapon_102033
102034	icon_102033	黑手	9	2	5	1	2	0.95	1.1	1.1	41	3500	294	1029	98	98	98	98	98	98	98	0	0	五阶2级锤子，38级可以使用，可以通过合成获得	2		weapon_102033
102035	icon_102033	黑手	9	2	5	1	2	1	1	1	42	3600	300	1050	100	100	100	100	100	100	100	0	0	五阶3级锤子，39级可以使用，可以在斯坦索姆中低级副本中获得	2		weapon_102033
102036	icon_102033	黑手	9	2	5	1	3	1.05	0.9	0.9	43	3700	306	1071	102	102	102	102	102	102	102	0	0	五阶4级锤子，40级可以使用，可以通过合成获得	3		weapon_102033
102037	icon_102037	洛卡米尔	10	2	5	1	3	1.1	0.8	0.8	44	3800	306	1071	102	102	102	102	102	102	102	0	0	五阶5级锤子，41级可以使用，可以在斯坦索姆中高级副本中获得	3		weapon_102037
102038	icon_102037	洛卡米尔	10	2	5	1	4	1.15	0.7	0.7	45	3900	318	1113	106	106	106	106	106	106	106	0	0	五阶6级锤子，42级可以使用，可以通过合成获得	4		weapon_102037
102039	icon_102037	洛卡米尔	10	2	5	1	4	1.2	0.6	0.6	46	4000	324	1134	108	108	108	108	108	108	108	0	0	五阶7级锤子，43级可以使用，可以在斯坦索姆高级副本中获得	4		weapon_102037
102040	icon_102037	洛卡米尔	10	2	5	1	5	1.25	0.5	0.5	47	4100	330	1155	110	110	110	110	110	110	110	0	0	五阶8级锤子，44级可以使用，可以通过合成获得	5		weapon_102037
102041	icon_102041	虚空之锤	11	2	5	1	1	1.1	1	1	48	4200	312	1092	104	104	104	104	104	104	104	0	0	六阶1级锤子，45级可以使用，可以在主线或者黑石之翼低级副本中获得	1		weapon_102041
102042	icon_102041	虚空之锤	11	2	5	1	2	1.15	0.92	0.92	49	4300	324	1134	108	108	108	108	108	108	108	0	0	六阶2级锤子，46级可以使用，可以通过合成获得	2		weapon_102041
102043	icon_102041	虚空之锤	11	2	5	1	2	1.2	0.84	0.84	50	4400	330	1155	110	110	110	110	110	110	110	0	0	六阶3级锤子，47级可以使用，可以在黑石之翼中低级副本中获得	2		weapon_102041
102044	icon_102041	虚空之锤	11	2	5	1	3	1.25	0.76	0.76	51	4500	342	1197	114	114	114	114	114	114	114	0	0	六阶4级锤子，48级可以使用，可以通过合成获得	3		weapon_102041
102045	icon_102045	太阳之锤	12	2	5	1	3	1.3	0.68	0.68	52	4600	336	1176	112	112	112	112	112	112	112	0	0	六阶5级锤子，49级可以使用，可以在黑石之翼中高级副本中获得	3		weapon_102045
102046	icon_102045	太阳之锤	12	2	5	1	4	1.35	0.6	0.6	53	4700	342	1197	114	114	114	114	114	114	114	0	0	六阶6级锤子，50级可以使用，可以通过合成获得	4		weapon_102045
102047	icon_102045	太阳之锤	12	2	5	1	4	1.4	0.52	0.52	54	4800	348	1218	116	116	116	116	116	116	116	0	0	六阶7级锤子，51级可以使用，可以在黑石之翼高级副本中获得	4		weapon_102045
102048	icon_102045	太阳之锤	12	2	5	1	5	1.45	0.44	0.44	55	4900	360	1260	120	120	120	120	120	120	120	0	0	六阶8级锤子，52级可以使用，可以通过合成获得	5		weapon_102045
202001	icon_202001	督军之锤	30	2	5	1	4	1.3	0.83	0.83	35	2200	210	735	70	70	70	70	70	70	70	42	0	战场一节1级锤子，35级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_202001
202002	icon_202001	督军之锤	31	2	5	1	4	1.35	0.78	0.78	40	2600	228	798	76	76	76	76	76	76	76	60	0	战场一节2级锤子，45级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_202001
202003	icon_202001	督军之锤	32	2	5	1	4	1.4	0.46	0.6	45	3400	282	987	94	94	94	94	94	94	94	80	0	战场一节3级锤子，55级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_202001
202004	icon_202002	风暴之锤	33	2	5	1	4	1.45	0.4	0.55	50	4200	312	1092	104	104	104	104	104	104	104	100	0	战场二节1级锤子，56级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_202002
202005	icon_202002	风暴之锤	34	2	5	1	4	1.5	0.34	0.5	58	4900	360	1260	120	120	120	120	120	120	120	110	0	战场二节2级锤子，60级可以使用，附有韧性属性，可以通过战场兑换获得	4		weapon_202002
202006	icon_202002	风暴之锤	35	2	5	1	5	1.55	0.28	0.4	60	4900	360	1260	120	120	120	120	120	120	120	120	0	战场二节3级锤子，60级可以使用，附有韧性属性，可以通过战场兑换获得	5		weapon_202002
103001	icon_103001	温诺斯之牙	1	3	5	1	1	0.1	3	3	2	200	60	210	20	20	20	20	20	20	20	0	0	一阶1级短剑，1级可以使用，可以在主线或者银牙城堡低级副本中获得	1		weapon_103001
103002	icon_103001	温诺斯之牙	1	3	5	1	2	0.15	2.8	2.8	4	300	72	252	24	24	24	24	24	24	24	0	0	一阶2级短剑，3级可以使用，可以通过合成获得	2		weapon_103001
103003	icon_103001	温诺斯之牙	1	3	5	1	2	0.2	2.6	2.6	6	400	78	273	26	26	26	26	26	26	26	0	0	一阶3级短剑，5级可以使用，可以在银牙城堡中低级副本中获得	2		weapon_103001
103004	icon_103001	温诺斯之牙	1	3	5	1	3	0.25	2.4	2.4	8	500	108	378	36	36	36	36	36	36	36	0	0	一阶4级短剑，7级可以使用，可以通过合成获得	3		weapon_103001
103005	icon_103005	无面者之牙	2	3	5	1	3	0.3	2.2	2.2	10	600	96	336	32	32	32	32	32	32	32	0	0	一阶5级短剑，9级可以使用，可以在银牙城堡中高级副本中获得	3		weapon_103005
103006	icon_103005	无面者之牙	2	3	5	1	4	0.35	2	2	12	700	108	378	36	36	36	36	36	36	36	0	0	一阶6级短剑，10级可以使用，可以通过合成获得	4		weapon_103005
103007	icon_103005	无面者之牙	2	3	5	1	4	0.4	1.8	1.8	14	800	114	399	38	38	38	38	38	38	38	0	0	一阶7级短剑，11级可以使用，可以在银牙城堡高级副本中获得	4		weapon_103005
103008	icon_103005	无面者之牙	2	3	5	1	5	0.45	1.6	1.6	15	900	126	441	42	42	42	42	42	42	42	0	0	一阶8级短剑，12级可以使用，可以通过合成获得	5		weapon_103005
103009	icon_103009	龙之召唤	3	3	5	1	1	0.3	2.5	2.5	16	1000	114	399	38	38	38	38	38	38	38	0	0	二阶1级短剑，13级可以使用，可以在主线或者血色教堂低级副本中获得	1		weapon_103009
103010	icon_103009	龙之召唤	3	3	5	1	2	0.35	2.3	2.3	17	1100	126	441	42	42	42	42	42	42	42	0	0	二阶2级短剑，14级可以使用，可以通过合成获得	2		weapon_103009
103011	icon_103009	龙之召唤	3	3	5	1	2	0.4	2.1	2.1	18	1200	132	462	44	44	44	44	44	44	44	0	0	二阶3级短剑，15级可以使用，可以在血色教堂中低级副本中获得	2		weapon_103009
103012	icon_103009	龙之召唤	3	3	5	1	3	0.45	1.9	1.9	19	1300	162	567	54	54	54	54	54	54	54	0	0	二阶4级短剑，16级可以使用，可以通过合成获得	3		weapon_103009
103013	icon_103013	龙牙之刃	4	3	5	1	3	0.5	1.7	1.7	20	1400	150	525	50	50	50	50	50	50	50	0	0	二阶5级短剑，17级可以使用，可以在血色教堂中高级副本中获得	3		weapon_103013
103014	icon_103013	龙牙之刃	4	3	5	1	4	0.55	1.5	1.5	21	1500	162	567	54	54	54	54	54	54	54	0	0	二阶6级短剑，18级可以使用，可以通过合成获得	4		weapon_103013
103015	icon_103013	龙牙之刃	4	3	5	1	4	0.6	1.3	1.3	22	1600	168	588	56	56	56	56	56	56	56	0	0	二阶7级短剑，19级可以使用，可以在血色教堂高级副本中获得	4		weapon_103013
103016	icon_103013	龙牙之刃	4	3	5	1	5	0.65	1.1	1.1	23	1700	180	630	60	60	60	60	60	60	60	0	0	二阶8级短剑，20级可以使用，可以通过合成获得	5		weapon_103013
103017	icon_103017	血领主	5	3	5	1	1	0.5	2	2	24	1800	168	588	56	56	56	56	56	56	56	0	0	三阶1级短剑，21级可以使用，可以在主线或者祖尔神迹低级副本中获得	1		weapon_103017
103018	icon_103017	血领主	5	3	5	1	2	0.55	1.85	1.85	25	1900	180	630	60	60	60	60	60	60	60	0	0	三阶2级短剑，22级可以使用，可以通过合成获得	2		weapon_103017
103019	icon_103017	血领主	5	3	5	1	2	0.6	1.7	1.7	26	2000	186	651	62	62	62	62	62	62	62	0	0	三阶3级短剑，23级可以使用，可以在祖尔神迹中低级副本中获得	2		weapon_103017
103020	icon_103017	血领主	5	3	5	1	3	0.65	1.55	1.55	27	2100	216	756	72	72	72	72	72	72	72	0	0	三阶4级短剑，24级可以使用，可以通过合成获得	3		weapon_103017
103021	icon_103021	残忍利刃	6	3	5	1	3	0.7	1.4	1.4	28	2200	210	735	70	70	70	70	70	70	70	0	0	三阶5级短剑，25级可以使用，可以在祖尔神迹中高级副本中获得	3		weapon_103021
103022	icon_103021	残忍利刃	6	3	5	1	4	0.75	1.25	1.25	29	2300	222	777	74	74	74	74	74	74	74	0	0	三阶6级短剑，26级可以使用，可以通过合成获得	4		weapon_103021
103023	icon_103021	残忍利刃	6	3	5	1	4	0.8	1.1	1.1	30	2400	228	798	76	76	76	76	76	76	76	0	0	三阶7级短剑，27级可以使用，可以在祖尔神迹高级副本中获得	4		weapon_103021
103024	icon_103021	残忍利刃	6	3	5	1	5	0.85	0.95	0.95	31	2500	240	840	80	80	80	80	80	80	80	0	0	三阶8级短剑，28级可以使用，可以通过合成获得	5		weapon_103021
