id	chapterID	chapterName	chapterScope	pointID	pointName	scene	bgm	boss_level	boss_seat	points_ico	pco_effect	points_point
22				22	突破第一阶段	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
23				23	突破第二阶段	map_004	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
24				24	硝烟四起	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
25				25	迫在眉睫	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
26				26	杀戮之地	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
27				27	真正的希望	map_004	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
28				28	曙光	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
29				29	退却	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
30				30	死亡的气息	map_004	battle_bgm_boss	1	5	ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
31				31	不败意志	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
32				32	变化	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
33				33	第一轮撕扯	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
34				34	小波的阻碍	map_004	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
35				35	目标阿琉斯	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
36				36	利剑的撕扯	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
37				37	惨叫与哀鸣	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
38				38	第三轮撕扯	map_004	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
39				39	不死生物	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
40				40	斩首	map_004	battle_bgm_boss	1	8	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
41				41	全面冲击	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
42				42	溃不成军	map_004	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
43				43	绝望？失望？	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
44				44	悲伤的大地	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
45				45	对与错	map_004	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
46				46	往事	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
47				47	杀出希望之门	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
48				48	集结希望之门	map_004	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
49				49	暗影来袭	map_004	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
50				50	目标血色	map_004	battle_bgm_boss	2	3	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
51				51	暴动的野兽1	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
52				52	不详之路	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
53				53	狗咬狗	map_003	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
54				54	残兵败将1	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
55				55	威胁？	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
56				56	不自量力	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
57				57	痛恨	map_003	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
58				58	强力部队？	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
59				59	悲凉的尸体	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
60				60	熊王蒙特西	map_003	battle_bgm_boss	1	5	ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
61				61	野蛮之力	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
62				62	浓烈	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
63				63	线索	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
64				64	不祥之兆	map_003	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
65				65	无谓的反抗1	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
66				66	谜团	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
67				67	黑暗	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
68				68	一抹黑	map_003	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
69				69	邪教	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
70				70	前进	map_003	battle_bgm_boss	1	8	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
71				71	城墙下的黑影	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
72				72	失踪的士兵1	map_001	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
73				73	疑团	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
74				74	跟踪	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
75				75	真相？	map_001	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
76				76	不容忽视	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
77				77	寻找真相	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
78				78	新的线索	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
79				79	善与恶？	map_001	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
80				80	真正的杀气	map_001	battle_bgm_boss	1	8	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
81				81	暴露	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
82				82	叛变	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
83				83	早有准备	map_001	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
84				84	暴动的守卫2	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
85				85	混乱	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
86				86	自相残杀	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
87				87	纠结之战	map_001	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
88				88	混乱升级	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
89				89	决战前夕	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
90				90	愤怒的米拉德	map_001	battle_bgm_boss	1	8	ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
91				91	进击的守卫1	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
92				92	军械库	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
93				93	围墙之下	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
94				94	大将格雷	map_001	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
95				95	回音教堂	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
96				96	决战当前	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
97				97	皇家卫队	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
98				98	残存的意志	map_001	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
99				99	天使长庞特	map_001	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
100				100	黑暗的米拉德	map_001	battle_bgm_boss	2	2	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
101				101	能量	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
102				102	生命之水	map_003	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
103				103	波光暗影	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
104				104	玷污	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
105				105	泉水守卫2	map_003	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
106				106	生命之源	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
107				107	自然使者	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
108				108	娜丽丝的抉择	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
109				109	泉水守卫6	map_003	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
110				110	撤离	map_003	battle_bgm_boss	1	5	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
111				111	迷失平原	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
112				112	密林小径	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
113				113	残兵败将4	map_003	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
114				114	路途	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
115				115	亡灵气息1	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
116				116	窒息	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
117				117	加速行军	map_003	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
118				118	变异	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
119				119	突袭	map_003	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
120				120	血色之路	map_003	battle_bgm_boss	1	8	ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
121				121	红月	map_002	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
122				122	月色十分	map_002	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
123				123	游魂	map_002	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
124				124	紧闭的大门	map_002	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
125				125	野鬼	map_002	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
126				126	渺茫的机会	map_002	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
127				127	哀嚎	map_002	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
128				128	看门人阿鲁比	map_002	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
129				129	血迹	map_002	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
130				130	饲养员休斯	map_002	battle_bgm_boss	1	8	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
131				131	骨与肉	map_002	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
132				132	清除	map_002	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
133				133	失踪的勇士	map_002	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
134				134	地下室入口	map_008	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
135				135	神奇的召唤	map_008	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
136				136	继续搜寻	map_008	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
137				137	呼吸？	map_008	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
138				138	低沉之声	map_008	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
139				139	腐烂	map_008	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
140				140	黑暗的尽头	map_008	battle_bgm_boss	1	8	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
141				141	异味	map_008	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
142				142	邪教士1	map_008	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
143				143	死咒	map_008	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
144				144	邪恶的味道	map_008	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
145				145	亡灵之门	map_008	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
146				146	颤抖的空气	map_008	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
147				147	走廊	map_008	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
148				148	回音	map_008	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
149				149	没有尽头	map_008	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
150				150	阿尔萨斯之影	map_008	battle_bgm_boss	2	5	ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
151				151	冰与火	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
152				152	躁动的沙漠	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
153				153	控制	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
154				154	局面	map_005	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
155				155	预兆	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
156				156	沙漠之影1	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
157				157	幻觉	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
158				158	杀机	map_005	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
159				159	死亡之触	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
160				160	蛇王聂斯	map_005	battle_bgm_boss	1	8	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
161				161	不安的气息	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
162				162	迷失	map_005	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
163				163	没玩没了	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
164				164	沙漠中的野兽	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
165				165	金色的威胁	map_005	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
166				166	沙虎修特拉	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
167				167	喋喋不休	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
168				168	炎热	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
169				169	轻敌	map_005	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
170				170	残忍木木	map_005	battle_bgm_boss	1	8	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
171				171	轮回	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
172				172	金色迷宫	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
173				173	选择	map_005	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
174				174	无路可走	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
175				175	巨魔氏族	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
176				176	正面出击	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
177				177	包围	map_005	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
178				178	使者肯基	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
179				179	麻木之战	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
180				180	死士纳罗	map_005	battle_bgm_boss	1	5	ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
181				181	蹊跷	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
182				182	奇怪的气息	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
183				183	升级	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
184				184	金色广场	map_005	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
185				185	永生门	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
186				186	遗迹	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
187				187	巨型石柱	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
188				188	占领	map_005	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
189				189	金色大殿	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
190				190	国王肯萨斯	map_005	battle_bgm_boss	1	5	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
191				191	谜团	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
192				192	圣甲虫广场	map_005	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
193				193	心灵的颤动	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
194				194	驯兽者露米	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
195				195	医师顿特	map_005	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
196				196	复活秘术	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
197				197	沙海巨兽1	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
198				198	巨兽乐园	map_005	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
199				199	沙漠之巢	map_005	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
200				200	大酋长薛尔	map_005	battle_bgm_boss	2	5	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
201				201	起雾	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
202				202	腐水	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
203				203	迷雾的背后	map_006	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
204				204	野兽的呼唤	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
205				205	残忍的尖牙	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
206				206	嗜血水元素	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
207				207	食物短缺	map_006	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
208				208	刀痕博西	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
209				209	嗜血杜杜尔	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
210				210	灰熊曼拉	map_006	battle_bgm_boss	1	5	ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
211				211	另一个世界	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
212				212	雾色渐浓	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
213				213	被困	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
214				214	失控	map_006	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
215				215	陷落	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
216				216	措手不及	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
217				217	连续激战	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
218				218	盲区	map_006	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
219				219	机制的战术	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
220				220	迷失	map_006	battle_bgm_boss	1	5	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
221				221	雾色下的爪牙	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
222				222	暴动的野兽	map_006	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
223				223	饥渴	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
224				224	致盲	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
225				225	频繁的威胁	map_006	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
226				226	不同的气味	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
227				227	热浪	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
228				228	融化的味道	map_006	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
229				229	退却？	map_006	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
230				230	新的方向	map_007	battle_bgm_boss	1	5	ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
231				231	元素侵袭5	map_007	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
232				232	火焰之拳	map_007	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
233				233	涌动的火焰	map_007	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
234				234	滚烫的汗水	map_007	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
235				235	坚持	map_007	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	658,150
236				236	灼热的心跳	map_007	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	762,238
237				237	火焰之心	map_007	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	718,370
238				238	聚集	map_007	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	666,484
239				239	吸引	map_007	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	796,542
240				240	火元素科特拉	map_007	battle_bgm_boss	1	5	ui_activities_diamond_search_denglu4	effect_jingjichangtishi	870,432
241				241	豺狼人的威胁1	map_007	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	126,152
242				242	野兽的味道	map_007	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	192,252
243				243	洞穴入口	map_007	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	210,334
244				244	不起眼的喽啰	map_007	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	268,436
245				245	熏人的恶臭	map_007	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	370,496
246				246	洞穴深处	map_007	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	462,408
247				247	族长利齿	map_007	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	470,292
248				248	巨型机器	map_007	battle_bgm			ui_activities_diamond_search_denglu4	effect_jingjichangtishi	410,170
249				249	浓雾之谜	map_007	battle_bgm			ui_activities_diamond_search_denglu5	effect_jingjichangtishi	530,120
