type	name	tab	quality	sort	pile	desc	picture	sellType	Price	magicIndex	control2	drop_location
11093	魔能碎片	1	5	2	20	合成六阶8级武器的金属碎片，可以在黑石之翼高级副本获得	icon_20021	1	6289			1,3,23
11097	黄玉	1	2	2	20	合成一阶2级戒指的金属碎片，可以在主线或者银牙城堡低级副本获得	icon_20025	1	100			2,4,24
11101	黄玉	1	3	2	20	合成一阶4级戒指的金属碎片，可以在银牙城堡中低级副本获得	icon_20025	1	200			1,3,24
11105	黄玉	1	4	2	20	合成一阶6级戒指的金属碎片，可以在银牙城堡中高级副本获得	icon_20025	1	400			2,4,25
11109	黄玉	1	5	2	20	合成一阶8级戒指的金属碎片，可以在银牙城堡高级副本获得	icon_20025	1	600			1,3,25
11113	河心石	1	2	2	20	合成二阶2级戒指的金属碎片，可以在主线或者血色教堂低级副本获得	icon_20029	1	160			2,4,26
11117	河心石	1	3	2	20	合成二阶4级戒指的金属碎片，可以在血色教堂中低级副本获得	icon_20029	1	320			1,3,26
11121	河心石	1	4	2	20	合成二阶6级戒指的金属碎片，可以在血色教堂中高级副本获得	icon_20029	1	640			2,4,27
11125	河心石	1	5	2	20	合成二阶8级戒指的金属碎片，可以在血色教堂高级副本获得	icon_20029	1	960			1,3,27
11129	皇紫晶	1	2	2	20	合成三阶2级戒指的金属碎片，可以在主线或者祖尔神迹低级副本获得	icon_20033	1	256			2,4,28
11133	皇紫晶	1	3	2	20	合成三阶4级戒指的金属碎片，可以在祖尔神迹中低级副本获得	icon_20033	1	512			1,3,28
11137	皇紫晶	1	4	2	20	合成三阶6级戒指的金属碎片，可以在祖尔神迹中高级副本获得	icon_20033	1	1024			2,4,29
11141	皇紫晶	1	5	2	20	合成三阶8级戒指的金属碎片，可以在祖尔神迹高级副本获得	icon_20033	1	1536			1,3,29
11145	朱砂玛瑙	1	2	2	20	合成四阶2级戒指的金属碎片，可以在主线或者厄运王国低级副本获得	icon_20037	1	409			2,4,30
11149	朱砂玛瑙	1	3	2	20	合成四阶4级戒指的金属碎片，可以在厄运王国中低级副本获得	icon_20037	1	819			1,3,30
11153	朱砂玛瑙	1	4	2	20	合成四阶6级戒指的金属碎片，可以在厄运王国中高级副本获得	icon_20037	1	1638			2,4,31
11157	朱砂玛瑙	1	5	2	20	合成四阶8级戒指的金属碎片，可以在厄运王国高级副本获得	icon_20037	1	2457			1,3,31
11161	源红石	1	2	2	20	合成五阶2级戒指的金属碎片，可以在主线或者斯坦索姆低级副本获得	icon_20041	1	654			2,4,32
11165	源红石	1	3	2	20	合成五阶4级戒指的金属碎片，可以在斯坦索姆中低级副本获得	icon_20041	1	1310			1,3,32
11169	源红石	1	4	2	20	合成五阶6级戒指的金属碎片，可以在斯坦索姆中高级副本获得	icon_20041	1	2620			2,4,33
11173	源红石	1	5	2	20	合成五阶8级戒指的金属碎片，可以在斯坦索姆高级副本获得	icon_20041	1	3931			1,3,33
11177	日曜石	1	2	2	20	合成六阶2级戒指的金属碎片，可以在主线或者黑石之翼低级副本获得	icon_20045	1	1046			2,4,34
11181	日曜石	1	3	2	20	合成六阶4级戒指的金属碎片，可以在黑石之翼中低级副本获得	icon_20045	1	2096			1,3,34
11185	日曜石	1	4	2	20	合成六阶6级戒指的金属碎片，可以在黑石之翼中高级副本获得	icon_20045	1	4192			2,4,35
11189	日曜石	1	5	2	20	合成六阶8级戒指的金属碎片，可以在黑石之翼高级副本获得	icon_20045	1	6289			1,3,35
11193	渴求雕文	1	2	2	20	合成一阶2级手镯的金属碎片，可以在主线或者银牙城堡低级副本获得	icon_20049	1	100			2,4,36
11197	渴求雕文	1	3	2	20	合成一阶4级手镯的金属碎片，可以在银牙城堡中低级副本获得	icon_20049	1	200			1,3,36
11201	渴求雕文	1	4	2	20	合成一阶6级手镯的金属碎片，可以在银牙城堡中高级副本获得	icon_20049	1	400			2,4,37
11205	渴求雕文	1	5	2	20	合成一阶8级手镯的金属碎片，可以在银牙城堡高级副本获得	icon_20049	1	600			1,3,37
11209	腐朽雕文	1	2	2	20	合成二阶2级手镯的金属碎片，可以在主线或者血色教堂低级副本获得	icon_20053	1	160			2,4,38
11213	腐朽雕文	1	3	2	20	合成二阶4级手镯的金属碎片，可以在血色教堂中低级副本获得	icon_20053	1	320			1,3,38
11217	腐朽雕文	1	4	2	20	合成二阶6级手镯的金属碎片，可以在血色教堂中高级副本获得	icon_20053	1	640			2,4,39
11221	腐朽雕文	1	5	2	20	合成二阶8级手镯的金属碎片，可以在血色教堂高级副本获得	icon_20053	1	960			1,3,39
11225	堕落雕文	1	2	2	20	合成三阶2级手镯的金属碎片，可以在主线或者祖尔神迹低级副本获得	icon_20057	1	256			2,4,40
11229	堕落雕文	1	3	2	20	合成三阶4级手镯的金属碎片，可以在祖尔神迹中低级副本获得	icon_20057	1	512			1,3,40
11233	堕落雕文	1	4	2	20	合成三阶6级手镯的金属碎片，可以在祖尔神迹中高级副本获得	icon_20057	1	1024			2,4,41
11237	堕落雕文	1	5	2	20	合成三阶8级手镯的金属碎片，可以在祖尔神迹高级副本获得	icon_20057	1	1536			1,3,41
11241	希望雕文	1	2	2	20	合成四阶2级手镯的金属碎片，可以在主线或者厄运王国低级副本获得	icon_20061	1	409			2,4,42
11245	希望雕文	1	3	2	20	合成四阶4级手镯的金属碎片，可以在厄运王国中低级副本获得	icon_20061	1	819			1,3,42
11249	希望雕文	1	4	2	20	合成四阶6级手镯的金属碎片，可以在厄运王国中高级副本获得	icon_20061	1	1638			2,4,43
11253	希望雕文	1	5	2	20	合成四阶8级手镯的金属碎片，可以在厄运王国高级副本获得	icon_20061	1	2457			1,3,43
11257	神圣雕文	1	2	2	20	合成五阶2级手镯的金属碎片，可以在主线或者斯坦索姆低级副本获得	icon_20065	1	654			2,4,44
11261	神圣雕文	1	3	2	20	合成五阶4级手镯的金属碎片，可以在斯坦索姆中低级副本获得	icon_20065	1	1310			1,3,44
11265	神圣雕文	1	4	2	20	合成五阶6级手镯的金属碎片，可以在斯坦索姆中高级副本获得	icon_20065	1	2620			2,4,45
11269	神圣雕文	1	5	2	20	合成五阶8级手镯的金属碎片，可以在斯坦索姆高级副本获得	icon_20065	1	3931			1,3,45
11273	圣天使雕文	1	2	2	20	合成六阶2级手镯的金属碎片，可以在主线或者黑石之翼低级副本获得	icon_20069	1	1046			2,4,46
11277	圣天使雕文	1	3	2	20	合成六阶4级手镯的金属碎片，可以在黑石之翼中低级副本获得	icon_20069	1	2096			1,3,46
11281	圣天使雕文	1	4	2	20	合成六阶6级手镯的金属碎片，可以在黑石之翼中高级副本获得	icon_20069	1	4192			2,4,47
11285	圣天使雕文	1	5	2	20	合成六阶8级手镯的金属碎片，可以在黑石之翼高级副本获得	icon_20069	1	6289			1,3,47
11289	麻线	1	2	2	20	合成一阶2级项链的金属碎片，可以在主线或者银牙城堡低级副本获得	icon_20073	1	100			2,4,48
11293	麻线	1	3	2	20	合成一阶4级项链的金属碎片，可以在银牙城堡中低级副本获得	icon_20073	1	200			1,3,48
11297	麻线	1	4	2	20	合成一阶6级项链的金属碎片，可以在银牙城堡中高级副本获得	icon_20073	1	400			2,4,49
11301	麻线	1	5	2	20	合成一阶8级项链的金属碎片，可以在银牙城堡高级副本获得	icon_20073	1	600			1,3,49
11305	藤链	1	2	2	20	合成二阶2级项链的金属碎片，可以在主线或者血色教堂低级副本获得	icon_20077	1	160			2,4,50
11309	藤链	1	3	2	20	合成二阶4级项链的金属碎片，可以在血色教堂中低级副本获得	icon_20077	1	320			1,3,50
11313	藤链	1	4	2	20	合成二阶6级项链的金属碎片，可以在血色教堂中高级副本获得	icon_20077	1	640			2,4,51
11317	藤链	1	5	2	20	合成二阶8级项链的金属碎片，可以在血色教堂高级副本获得	icon_20077	1	960			1,3,51
11321	钢丝	1	2	2	20	合成三阶2级项链的金属碎片，可以在主线或者祖尔神迹低级副本获得	icon_20081	1	256			2,4,52
11325	钢丝	1	3	2	20	合成三阶4级项链的金属碎片，可以在祖尔神迹中低级副本获得	icon_20081	1	512			1,3,52
11329	钢丝	1	4	2	20	合成三阶6级项链的金属碎片，可以在祖尔神迹中高级副本获得	icon_20081	1	1024			2,4,53
11333	钢丝	1	5	2	20	合成三阶8级项链的金属碎片，可以在祖尔神迹高级副本获得	icon_20081	1	1536			1,3,53
11337	魔丝	1	2	2	20	合成四阶2级项链的金属碎片，可以在主线或者厄运王国低级副本获得	icon_20085	1	409			2,4,54
11341	魔丝	1	3	2	20	合成四阶4级项链的金属碎片，可以在厄运王国中低级副本获得	icon_20085	1	819			1,3,54
11345	魔丝	1	4	2	20	合成四阶6级项链的金属碎片，可以在厄运王国中高级副本获得	icon_20085	1	1638			2,4,55
11349	魔丝	1	5	2	20	合成四阶8级项链的金属碎片，可以在厄运王国高级副本获得	icon_20085	1	2457			1,3,55
11353	生灵之根	1	2	2	20	合成五阶2级项链的金属碎片，可以在主线或者斯坦索姆低级副本获得	icon_20089	1	654			2,4,56
11357	生灵之根	1	3	2	20	合成五阶4级项链的金属碎片，可以在斯坦索姆中低级副本获得	icon_20089	1	1310			1,3,56
11361	生灵之根	1	4	2	20	合成五阶6级项链的金属碎片，可以在斯坦索姆中高级副本获得	icon_20089	1	2620			2,4,57
11365	生灵之根	1	5	2	20	合成五阶8级项链的金属碎片，可以在斯坦索姆高级副本获得	icon_20089	1	3931			1,3,57
11369	魔物之须	1	2	2	20	合成六阶2级项链的金属碎片，可以在主线或者黑石之翼低级副本获得	icon_20093	1	1046			2,4,58
11373	魔物之须	1	3	2	20	合成六阶4级项链的金属碎片，可以在黑石之翼中低级副本获得	icon_20093	1	2096			1,3,58
11377	魔物之须	1	4	2	20	合成六阶6级项链的金属碎片，可以在黑石之翼中高级副本获得	icon_20093	1	4192			2,4,59
11381	魔物之须	1	5	2	20	合成六阶8级项链的金属碎片，可以在黑石之翼高级副本获得	icon_20093	1	6289			1,3,59
12011	血之宝珠	2	1	4	20	鲜红的血珠，用于附着给装备微量的血量	icon_1201	1	3000	2	420	2,4,60
12012	血之宝珠	2	2	4	20	鲜红的血珠，用于附着给装备少量的血量	icon_1201	1	15000	2	840	1,3,60
12013	血之宝珠	2	3	4	20	鲜红的血珠，用于附着给装备中量的血量	icon_1201	1	30000	2	1260	2,4,61
12014	血之宝珠	2	4	4	20	鲜红的血珠，用于附着给装备大量的血量	icon_1201	1	42000	2	1680	1,3,61
12015	血之宝珠	2	5	4	20	鲜红的血珠，用于附着给装备超大量的血量	icon_1201	1	54000	2	2100	2,4,62
12021	攻击宝珠	2	1	4	20	力量的黄珠，用于附着给装备微量的攻击力	icon_1202	1	3000	1	60	1,3,62
12022	攻击宝珠	2	2	4	20	力量的黄珠，用于附着给装备少量的攻击力	icon_1202	1	15000	1	120	2,4,63
12023	攻击宝珠	2	3	4	20	力量的黄珠，用于附着给装备中量的攻击力	icon_1202	1	30000	1	180	1,3,63
12024	攻击宝珠	2	4	4	20	力量的黄珠，用于附着给装备大量的攻击力	icon_1202	1	42000	1	240	2,4,64
12025	攻击宝珠	2	5	4	20	力量的黄珠，用于附着给装备超大量的攻击力	icon_1202	1	54000	1	300	1,3,64
12031	防御宝珠	2	1	4	20	坚韧的紫珠，用于附着给装备微量的防御值	icon_1203	1	3000	3	24	2,4,65
12032	防御宝珠	2	2	4	20	坚韧的紫珠，用于附着给装备少量的防御值	icon_1203	1	15000	3	48	1,3,65
12033	防御宝珠	2	3	4	20	坚韧的紫珠，用于附着给装备中量的防御值	icon_1203	1	30000	3	72	2,4,66
12034	防御宝珠	2	4	4	20	坚韧的紫珠，用于附着给装备大量的防御值	icon_1203	1	42000	3	96	1,3,66
12035	防御宝珠	2	5	4	20	坚韧的紫珠，用于附着给装备超大量的防御值	icon_1203	1	54000	3	120	2,4,67
12041	穿刺宝珠	2	1	4	20	渗透的青珠，用于附着给装备微量的穿刺值	icon_1204	1	3000	4	24	1,3,67
12042	穿刺宝珠	2	2	4	20	渗透的青珠，用于附着给装备少量的穿刺值	icon_1204	1	15000	4	48	2,4,68
12043	穿刺宝珠	2	3	4	20	渗透的青珠，用于附着给装备中量的穿刺值	icon_1204	1	30000	4	72	1,3,68
12044	穿刺宝珠	2	4	4	20	渗透的青珠，用于附着给装备大量的穿刺值	icon_1204	1	42000	4	96	2,4,69
12045	穿刺宝珠	2	5	4	20	渗透的青珠，用于附着给装备超大量的穿刺值	icon_1204	1	54000	4	120	1,3,69
12051	暴击宝珠	2	1	4	20	不稳定的绿珠，用于附着给装备微量的暴击值	icon_1205	1	3000	7	24	2,4,70
12052	暴击宝珠	2	2	4	20	不稳定的绿珠，用于附着给装备少量的暴击值	icon_1205	1	15000	7	48	1,3,70
12053	暴击宝珠	2	3	4	20	不稳定的绿珠，用于附着给装备中量的暴击值	icon_1205	1	30000	7	72	2,4,71
12054	暴击宝珠	2	4	4	20	不稳定的绿珠，用于附着给装备大量的暴击值	icon_1205	1	42000	7	96	1,3,71
12055	暴击宝珠	2	5	4	20	不稳定的绿珠，用于附着给装备超大量的暴击值	icon_1205	1	54000	7	120	2,4,72
12061	闪避宝珠	2	1	4	20	灵巧的紫红珠，用于附着给装备微量的闪避值	icon_1206	1	3000	6	24	1,3,72
12062	闪避宝珠	2	2	4	20	灵巧的紫红珠，用于附着给装备少量的闪避值	icon_1206	1	15000	6	48	2,4,73
12063	闪避宝珠	2	3	4	20	灵巧的紫红珠，用于附着给装备中量的闪避值	icon_1206	1	30000	6	72	1,3,73
12064	闪避宝珠	2	4	4	20	灵巧的紫红珠，用于附着给装备大量的闪避值	icon_1206	1	42000	6	96	2,4,74
12065	闪避宝珠	2	5	4	20	灵巧的紫红珠，用于附着给装备超大量的闪避值	icon_1206	1	54000	6	120	1,3,74
12071	命中宝珠	2	1	4	20	专注的橙珠，用于附着给装备微量的命中	icon_1207	1	3000	5	24	2,4,75
12072	命中宝珠	2	2	4	20	专注的橙珠，用于附着给装备少量的命中	icon_1207	1	15000	5	48	1,3,75
12073	命中宝珠	2	3	4	20	专注的橙珠，用于附着给装备中量的命中	icon_1207	1	30000	5	72	2,4,76
12074	命中宝珠	2	4	4	20	专注的橙珠，用于附着给装备大量的命中	icon_1207	1	42000	5	96	1,3,76
12075	命中宝珠	2	5	4	20	专注的橙珠，用于附着给装备超大量的命中	icon_1207	1	54000	5	120	2,4,77
12081	暴强宝珠	2	1	4	20	激进的黄珠，用于附着给装备微量的暴强值	icon_1208	1	3000	8	24	1,3,77
12082	暴强宝珠	2	2	4	20	激进的黄珠，用于附着给装备少量的暴强值	icon_1208	1	15000	8	48	2,4,78
12083	暴强宝珠	2	3	4	20	激进的黄珠，用于附着给装备中量的暴强值	icon_1208	1	30000	8	72	1,3,78
12084	暴强宝珠	2	4	4	20	激进的黄珠，用于附着给装备大量的暴强值	icon_1208	1	42000	8	96	2,4,79
12085	暴强宝珠	2	5	4	20	激进的黄珠，用于附着给装备超大量的暴强值	icon_1208	1	54000	8	120	1,3,79
12091	免爆宝珠	2	1	4	20	刚毅的蓝珠，用于附着给装备微量的免爆值	icon_1209	1	3000	9	24	2,4,80
12092	免爆宝珠	2	2	4	20	刚毅的蓝珠，用于附着给装备少量的免爆值	icon_1209	1	15000	9	48	1,3,80
12093	免爆宝珠	2	3	4	20	刚毅的蓝珠，用于附着给装备中量的免爆值	icon_1209	1	30000	9	72	2,4,81
12094	免爆宝珠	2	4	4	20	刚毅的蓝珠，用于附着给装备大量的免爆值	icon_1209	1	42000	9	96	1,3,81
12095	免爆宝珠	2	5	4	20	刚毅的蓝珠，用于附着给装备超大量的免爆值	icon_1209	1	54000	9	120	2,4,82
12101	韧性宝珠	2	1	4	20	无敌的蓝珠，用于附着给装备微量的韧性值	icon_1210	1	3000	10	24	1,3,82
12102	韧性宝珠	2	2	4	20	无敌的蓝珠，用于附着给装备少量的韧性值	icon_1210	1	15000	10	48	2,4,83
12103	韧性宝珠	2	3	4	20	无敌的蓝珠，用于附着给装备中量的韧性值	icon_1210	1	30000	10	72	1,3,83
12104	韧性宝珠	2	4	4	20	无敌的蓝珠，用于附着给装备大量的韧性值	icon_1210	1	42000	10	96	2,4,84
12105	韧性宝珠	2	5	4	20	无敌的蓝珠，用于附着给装备超大量的韧性值	icon_1210	1	54000	10	120	1,3,84
13001	二级净化石	2	1	6	50	初阶灵魂的残渣，用于将D级英雄提升至C级	icon_13001	1	1800			2,4,85
13002	三级净化石	2	2	6	50	低阶灵魂的残渣，用于将C级英雄提升至B级	icon_13002	1	3000			1,3,85
13003	四级净化石	2	3	6	50	中阶灵魂的残渣，用于将B级英雄提升至B+级	icon_13003	1	6000			2,4,86
13004	五级净化石	2	3	6	50	高阶灵魂的残渣，用于将B+级英雄提升至A级	icon_13004	1	12000			1,3,86
13005	六级净化石	2	4	6	50	超阶灵魂的残渣，用于将A级英雄提升至A+级	icon_13005	1	18000			2,4,87
13006	七级净化石	2	4	6	50	神阶灵魂的残渣，用于将A+级英雄提升至S级	icon_13006	1	24000			1,3,87
101	一阶1级装备	2	1	3	50	一阶1级的武器,戒指,手镯,项链	icon_001	1	100			2,4,88
102	一阶3级装备	2	2	3	50	一阶3级的武器,戒指,手镯,项链	icon_001	1	100			1,3,88
103	一阶5级装备	2	3	3	50	一阶5级的武器,戒指,手镯,项链	icon_001	1	100			2,4,89
104	一阶7级装备	2	4	3	50	一阶7级的武器,戒指,手镯,项链	icon_001	1	100			1,3,89
105	二阶1级装备	2	1	3	50	二阶1级的武器,戒指,手镯,项链	icon_001	1	100			2,4,90
106	二阶3级装备	2	2	3	50	二阶3级的武器,戒指,手镯,项链	icon_001	1	100			1,3,90
107	二阶5级装备	2	3	3	50	二阶5级的武器,戒指,手镯,项链	icon_001	1	100			2,4,91
108	二阶7级装备	2	4	3	50	二阶7级的武器,戒指,手镯,项链	icon_001	1	100			1,3,91
109	三阶1级装备	2	1	3	50	三阶1级的武器,戒指,手镯,项链	icon_001	1	100			2,4,92
110	三阶3级装备	2	2	3	50	三阶3级的武器,戒指,手镯,项链	icon_001	1	100			1,3,92
111	三阶5级装备	2	3	3	50	三阶5级的武器,戒指,手镯,项链	icon_001	1	100			2,4,93
112	三阶7级装备	2	4	3	50	三阶7级的武器,戒指,手镯,项链	icon_001	1	100			1,3,93
113	四阶1级装备	2	1	3	50	四阶1级的武器,戒指,手镯,项链	icon_001	1	100			2,4,94
114	四阶3级装备	2	2	3	50	四阶3级的武器,戒指,手镯,项链	icon_001	1	100			1,3,94
115	四阶5级装备	2	3	3	50	四阶5级的武器,戒指,手镯,项链	icon_001	1	100			2,4,95
116	四阶7级装备	2	4	3	50	四阶7级的武器,戒指,手镯,项链	icon_001	1	100			1,3,95
117	五阶1级装备	2	1	3	50	五阶1级的武器,戒指,手镯,项链	icon_001	1	100			2,4,96
118	五阶3级装备	2	2	3	50	五阶3级的武器,戒指,手镯,项链	icon_001	1	100			1,3,96
119	五阶5级装备	2	3	3	50	五阶5级的武器,戒指,手镯,项链	icon_001	1	100			2,4,97
120	五阶7级装备	2	4	3	50	五阶7级的武器,戒指,手镯,项链	icon_001	1	100			1,3,97
121	六阶1级装备	2	1	3	50	六阶1级的武器,戒指,手镯,项链	icon_001	1	100			2,4,98
122	六阶3级装备	2	2	3	50	六阶3级的武器,戒指,手镯,项链	icon_001	1	100			1,3,98
123	六阶5级装备	2	3	3	50	六阶5级的武器,戒指,手镯,项链	icon_001	1	100			2,4,99
124	六阶7级装备	2	4	3	50	六阶7级的武器,戒指,手镯,项链	icon_001	1	100			1,3,99
201	一阶2级碎片	2	1	3	50	一阶2级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			2,4,100
202	一阶4级碎片	2	2	3	50	一阶4级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			1,3,100
203	一阶6级碎片	2	3	3	50	一阶6级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			2,4,101
204	一阶8级碎片	2	4	3	50	一阶8级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			1,3,101
205	二阶2级碎片	2	1	3	50	二阶2级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			2,4,102
206	二阶4级碎片	2	2	3	50	二阶4级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			1,3,102
207	二阶6级碎片	2	3	3	50	二阶6级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			2,4,103
208	二阶8级碎片	2	4	3	50	二阶8级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			1,3,103
209	三阶2级碎片	2	1	3	50	三阶2级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			2,4,104
210	三阶4级碎片	2	2	3	50	三阶4级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			1,3,104
211	三阶6级碎片	2	3	3	50	三阶6级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			2,4,105
212	三阶8级碎片	2	4	3	50	三阶8级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			1,3,105
213	四阶2级碎片	2	1	3	50	四阶2级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			2,4,106
214	四阶4级碎片	2	2	3	50	四阶4级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			1,3,106
215	四阶6级碎片	2	3	3	50	四阶6级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			2,4,107
216	四阶8级碎片	2	4	3	50	四阶8级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			1,3,107
217	五阶2级碎片	2	1	3	50	五阶2级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			2,4,108
218	五阶4级碎片	2	2	3	50	五阶4级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			1,3,108
219	五阶6级碎片	2	3	3	50	五阶6级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			2,4,109
220	五阶8级碎片	2	4	3	50	五阶8级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			1,3,109
221	六阶2级碎片	2	1	3	50	六阶2级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			2,4,110
222	六阶4级碎片	2	2	3	50	六阶4级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			1,3,110
223	六阶6级碎片	2	3	3	50	六阶6级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			2,4,111
224	六阶8级碎片	2	4	3	50	六阶8级的武器,戒指,手镯,项链的合成碎片	icon_002	1	100			1,3,111
3	幸运星	2	4	3	50	用来抽奖的幸运之星	icon_3	1	100			2,4,112
1	金币	2	4	3	50	金灿灿的，好像很多地方需要用到它	icon_1	1	100			1,3,112
8	聊天喇叭	2	4	8	50	每次发送一次喇叭功能就消耗一个聊天喇叭	icon_8					2,4,115
2	钻石	2	4	8	50	哈哈，钻石	ui_tubiao_zuanshi_da	1	100			1,3,115
7	疲劳值	2	4	8	50		icon_7	1	100			1,3,116
