level	photo	name	pos	caption
150	story_aersasizhiying	阿尔萨斯之影	2	哼哼哼！你们倒是有点实力
150	story_me	联盟国王	1	原来是你！阿尔萨斯，恶魔的走狗
150	story_kongjumowang	恐惧魔王	2	哈哈哈哈，快来重燃我愤怒的火焰吧。一切都已经太晚了，阿尔萨斯你做的很好！
150	story_me	联盟国王	1	阿尔萨斯，你难道做的错事还不够多么？为什么要一而再的背弃我们
150	story_aersasizhiying	阿尔萨斯之影	2	你们这些低等人，我早已不屑与你们为伍，恐惧魔王，现在万事俱备了，起来吧。用你的复仇之火燃烧整片大地吧
150	story_kongjumowang	恐惧魔王	2	沉睡了这么多年，终于又可以重铸肉身了，愚蠢的人们，你们会为20年前的错误而付出代价的。
150	story_kongjumowang	恐惧魔王	2	哈哈哈哈哈哈哈哈（笑声逐渐的消失在了黑暗中）
150	story_me	联盟国王	1	难道恐惧魔王已经完全复活了么？这一切到底是怎么回事，阿尔萨斯！你最好给一个解释
150	story_aersasizhiying	阿尔萨斯之影	2	解释？真可笑，如果你们真想要一个解释。就来我的斯坦索姆参观参观吧。我的仆人会好好招待你们的
150	story_me	联盟国王	1	不用去斯坦索姆了，现在就让圣光溅射进你那邪恶的心灵。
150	story_aersasizhiying	阿尔萨斯之影	2	（阿尔萨斯之影渐渐的消失了）
150	story_me	联盟国王	1	可恶，这难道是影子？
150	story_me	联盟国王	1	影子都这么厉害了，不知道现在的阿尔萨斯有着什么样的能量。
200	story_safeilong	萨菲隆	2	为什么会这样，这不在计划之内！
200	story_me	联盟国王	1	为什么老国王会在这里复活，你们到底是谁？
200	story_safeilong	萨菲隆	2	你觉得我会告诉你么？你们这些人完全不懂得巫术的魅力！
200	story_me	联盟国王	1	巫术？古老的禁术么？这里难道也是远古的遗迹？像你们这样的高智慧生物，为什么要帮助恶魔。
200	story_safeilong	萨菲隆	2	正因为我们拥有智慧，所以我们开始就看到了谁才会赢得最终的胜利。
200	story_me	联盟国王	1	胜利永远只属于坚持到最后的人！你们让昔日阵亡的战士不得安宁。光是这一点就不可饶恕！
200	story_safeilong	萨菲隆	2	啊。。。。。。（萨菲隆被狠狠的钉在了墙上）
200	story_me	联盟国王	1	（英雄们默默的走到了肯萨斯的身边，这时一本日记本引起了英雄的注意）
200	story_kensasi	肯萨斯	1	我从恶臭的土壤中醒来，墓碑与乌鸦遍布四周,那一瞬间，我已知道我不再属于我自己了!
200	story_kensasi	肯萨斯	1	一股奇特的力量反复的召唤着我，在我仅存的理智下，我总觉得自己该。。。（模糊的看不清）
200	story_me	联盟国王	1	这股力量难道跟恐惧魔王的复活有着什么牵连么？
250	story_xueren	雪人	2	你们这些可恶的人类，为什么我都如此下场了，还要来侵占博比的地盘
250	story_me	联盟国王	1	博比，你为什么要替那些坏人守护这个洞穴？
250	story_xueren	雪人	2	坏人？博比受到了诅咒，博比走出去，就会很痛
250	story_me	联盟国王	1	诅咒么？是什么样的咒印，这样折磨着博比（英雄们准备解救博比）
250	story_shenmiren	神秘人	2	你这个傻雪人，从一开始就不应该指望着你
250	story_shenmiren	神秘人	2	没想到你们还能走到这里，不过这一切都是徒劳
250	story_me	联盟国王	1	既然不畏惧我们，为什么还要在路途上设置这些阻碍
250	story_shenmiren	神秘人	2	哼！你们这种低智慧生物，又怎么能理解大人的计划
250	story_xueren	雪人	2	你这个坏人！为什么要这样对我（满怀愤怒的博比猛然的冲向了神秘人）
250	story_shenmiren	神秘人	2	（神秘人制造了一个法阵）
250	story_xueren	雪人	2	啊。。。疼，疼，博比好疼（博比顿然摔倒在地，双手捂住胸口）
250	story_me	联盟国王	1	你在做什么！（强大的法球瞬时飞向了神秘人）
250				（伴随着巨大的爆炸，神秘人消失的无隐无踪）
250	story_me	联盟国王	1	博比，我们会治愈好你的！
300	story_shirenmoguowang	食人魔国王	2	看来这次抓回来的家伙有些麻烦
300	story_me	联盟国王	1	麻烦？我们也不希望这样发展下去的。你们食人魔部族是很强大的战力，为什么不来帮助我们一起抵抗邪恶
300	story_shirenmoguowang	食人魔国王	2	我不能让我的族人面对如此邪恶的魔力，自然之力庇护着我的森林，你们的事情跟我没有关系
300	story_me	联盟国王	1	自然的力量早晚也会被吞噬，如果现在不携手，可能最后自然之力也会大势已去
300	story_shirenmoguowang	食人魔国王	2	不用说了，你要我去指挥我的族人去冒险是不可能的事情！
300	story_me	联盟国王	1	这不是冒险，这是唯一的出路！
300	story_shirenmoguowang	食人魔国王	2	我说过了，你们不用说了，你们刚刚战胜了我。你已经是我们食人魔氏族的领袖了，在不背离我们信仰的前提下，我的族人会听你差遣的
300	story_me	联盟国王	1	什么？你们还有这规矩？
300	story_me	联盟国王	1	如果是邪恶的力量战胜了你呢？
300	story_shirenmoguowang	食人魔国王	2	我说了，前提是不背离我们的信仰。
300	story_me	联盟国王	1	好吧，作为你们的领袖，我命令你差遣你的族人在这里等待着后方部队，总攻的时候贡献出你们的战力！
300	story_shirenmoguowang	食人魔国王	2	遵命，我的主人！
350	story_kongjumowang	恐惧魔王	2	蝼蚁们，别以为战胜了我这套新的肉身就可以证明什么！我的实力远不止如此，再给我些许时日，我会让你们生不如死
350	story_me	联盟国王	1	随便你说什么了，事到如今你也只能嘴硬了（英雄们提着剑刃，直指恐惧魔王的咽喉）
350	story_kongjumowang	恐惧魔王	2	这是干什么，为什么不直接了结了我
350	story_me	联盟国王	1	你现在有两个选择，告诉我们你知道的一切，我们就让你安静的死去，不然我们会让你的灵魂再次受到诅咒
350	story_kongjumowang	恐惧魔王	2	什么？诅咒？你觉得我会害怕这种东西么？不过你想知道些信息，我也就多少告诉你们一些
350	story_kongjumowang	恐惧魔王	2	阿尔萨斯为了掌握一种古老的力量，正与一个强大的势力联手，然后，你们必然躺在主人的脚下！
350	story_me	联盟国王	1	（英雄们愤怒中在剑刃上附着了最强力的圣光之力）
350	story_kongjumowang	恐惧魔王	2	你们太天真了，哈哈哈哈哈哈（笑声中恐惧魔王的肉身化为了灰烬）
350				一片幽兰色的光辉飘向了斯坦索姆，英雄们知道，真正的战斗才刚刚开始
400	story_aersasi	阿尔萨斯	2	看来这古老的力量也并没有那么管用，不要也罢，脆弱的力量就没有存在的必要性
400	story_me	联盟国王	1	阿尔萨斯，事到如今你还有什么好说的，只是一个小小的错误，你为何有如此大的怨念
400	story_aersasi	阿尔萨斯	2	错误？我并没有背弃我的信仰！
400	story_me	联盟国王	1	什么？信仰？
400	story_aersasi	阿尔萨斯	2	那时候的情况，我必须这么做，而你们的却始终无法理解我的抉择
400	story_aersasi	阿尔萨斯	2	至于后面发生的，我只能说这一切都是命运！这是我们的宿命！
400	story_me	联盟国王	1	那时候到底发生了什么，为什么听不懂你说的这一切
400	story_shenmiren	神秘人	2	阿尔萨斯，真不知道主人为什么和你这么弱小的人合作，你这简直是玷污了主人
400	story_shenmiren	神秘人	2	你们这些愚蠢的人们，你们以为打败了这个懦弱的叛徒一切就结束了么？享受主人给你们准备的盛宴吧
400				神秘人就是神秘人，神秘的消失了
400				这时，英雄们都没有从这凝重的气氛中走出来。。。。。
400	story_aersasi	阿尔萨斯	2	不用太过害怕，他们这点实力你们应该还不至于止步于此，下次见面的时候，希望你们真的值得死在我的刃下
400				阿尔萨斯用剑插向地面，随着一道寒光消失在天际
450	story_me	联盟国王	1	真没想到你们红龙氏族会把这里作为你们的据点！
450	story_longrenjiangjun	龙人将军	2	我们卧薪尝胆了20个寒冬，20年前的战斗，我们被遗弃，仅仅因为我们祖先的一个错误！
450	story_longrenjiangjun	龙人将军	2	不，这不是错误，我们的祖先只是更早的看透了这个世界，事到如今，我们要复仇！
450	story_me	联盟国王	1	可惜你已经没有机会再复仇下去了
450	story_shenmiren	神秘人	2	主人，我来救你了！
450				神秘人拔出长剑挡在了龙人将军的前面
450				叮~铛~~~~~~噌~~~~
450				神秘人的武器被打落在地
450	story_shenmiren	神秘人	2	这，哼哼，主人你知道的秘密太多了，既然救不了你。对不住了
450				神秘人从袖口中拔出匕首，刺向了龙人将军
450				正当英雄们准备行动的时候，神秘人用龙人之血浸透的匕首插在自己的胸口
450				顿时，紫色的法阵从神秘人胸口中展开。一阵耀眼的光芒后，神秘人消失在了房间内
450	story_me	联盟国王	1	他是死了么？到底什么情况？（虽然取得了最终的胜利，可英雄们心中却有一丝的不安）
450				这样仓促的结局，始终回荡在英雄们的心中，但是似乎一切都已经平静了
450				也不知道还能享受这短暂的和平多久
