id	maxSort	miniSort	successRate	moneyTyep	price	material1	magicNumber	material2	material3	material4	material5	material6	materials
12022	3	1	25	2	25	12021	4						[{12021,4}]
12032	3	1	25	2	25	12031	4						[{12031,4}]
12042	3	1	25	2	25	12041	4						[{12041,4}]
12052	3	1	25	2	25	12051	4						[{12051,4}]
12062	3	1	25	2	25	12061	4						[{12061,4}]
12072	3	1	25	2	25	12071	4						[{12071,4}]
12082	3	1	25	2	25	12081	4						[{12081,4}]
12092	3	1	25	2	25	12091	4						[{12091,4}]
12102	3	1	25	2	25	12101	4						[{12101,4}]
12013	3	2	25	2	50	12012	4						[{12012,4}]
12023	3	2	25	2	50	12022	4						[{12022,4}]
12033	3	2	25	2	50	12032	4						[{12032,4}]
12043	3	2	25	2	50	12042	4						[{12042,4}]
12053	3	2	25	2	50	12052	4						[{12052,4}]
12063	3	2	25	2	50	12062	4						[{12062,4}]
12073	3	2	25	2	50	12072	4						[{12072,4}]
12083	3	2	25	2	50	12082	4						[{12082,4}]
12093	3	2	25	2	50	12092	4						[{12092,4}]
12103	3	2	25	2	50	12102	4						[{12102,4}]
12014	3	3	50	2	90	12013	4						[{12013,4}]
12024	3	3	50	2	90	12023	4						[{12023,4}]
12034	3	3	50	2	90	12033	4						[{12033,4}]
12044	3	3	50	2	90	12043	4						[{12043,4}]
12054	3	3	50	2	90	12053	4						[{12053,4}]
12064	3	3	50	2	90	12063	4						[{12063,4}]
12074	3	3	50	2	90	12073	4						[{12073,4}]
12084	3	3	50	2	90	12083	4						[{12083,4}]
12094	3	3	50	2	90	12093	4						[{12093,4}]
12104	3	3	50	2	90	12103	4						[{12103,4}]
12015	3	4	50	2	180	12014	4						[{12014,4}]
12025	3	4	50	2	180	12024	4						[{12024,4}]
12035	3	4	50	2	180	12034	4						[{12034,4}]
12045	3	4	50	2	180	12044	4						[{12044,4}]
12055	3	4	50	2	180	12054	4						[{12054,4}]
12065	3	4	50	2	180	12064	4						[{12064,4}]
12075	3	4	50	2	180	12074	4						[{12074,4}]
12085	3	4	50	2	180	12084	4						[{12084,4}]
12095	3	4	50	2	180	12094	4						[{12094,4}]
12105	3	4	50	2	180	12104	4						[{12104,4}]
