id	chapterID	chapterName	chapterScope	pointID	pointName	scene	bgm	boss_level	boss_seat	boss_type	points_ico	pco_effect	guide_level	guide_equip	guide_strengthen	guide_quality	guide_gem	guide_gem_level
117				117	117 加加恩.火锤	map_018	battle_bgm_dugout	2	5	3	ui_zhuxian_bigboss_airenguowang	effect_jingjichangtishi	202	564	88	17	75	20
118				118	118 混乱升级	map_010	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	203	568	88	17	75	20
119				119	119 决战前夕	map_010	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	204	568	92	17	75	20
120				120	120 图特卡什	map_010	battle_bgm_ghostdom	1	8	3	ui_zhuxian_boss_wangling	effect_jingjichangtishi	205	572	92	17	75	20
121				121	121 渺茫的机会	map_010	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	206	576	92	18	75	20
122				122	122 血迹	map_010	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	210	588	92	18	75	20
123				123	123 莫德雷斯	map_010	battle_bgm_ghostdom	1	8	3	ui_zhuxian_boss_wangling	effect_jingjichangtishi	211	588	92	18	75	20
124				124	124 骨与肉	map_010	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	212	592	96	18	75	20
125				125	125 清除	map_010	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	213	596	96	18	75	20
126				126	126 暴食者	map_010	battle_bgm_ghostdom	1	5	3	ui_zhuxian_boss_wangling	effect_jingjichangtishi	214	596	96	18	75	20
127				127	127 哀嚎	map_010	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	215	600	96	18	75	20
128				128	128 波光暗影	map_010	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	216	604	96	19	75	20
129				129	129 寒冰亚门纳尔	map_010	battle_bgm_ghostdom	2	2	3	ui_zhuxian_bigboss_wuyao	effect_jingjichangtishi	217	604	96	19	75	20
130				130	130 神奇的召唤	map_005	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	218	608	96	19	75	20
131				131	131 继续搜寻	map_005	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	219	612	100	19	75	20
132				132	132 维蕾萨	map_005	battle_bgm_town	1	8	3	ui_zhuxian_boss_jumo	effect_jingjichangtishi	220	616	100	19	75	20
133				133	133 冰与火	map_005	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	221	616	100	19	75	20
134				134	134 控制	map_005	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	222	620	100	19	90	20
135				135	135 加兹瑞拉	map_005	battle_bgm_town	1	8	3	ui_zhuxian_boss_yeshou	effect_jingjichangtishi	223	624	104	19	90	30
136				136	136 黑暗的尽头	map_005	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	224	624	104	19	90	30
137				137	137 死咒	map_005	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	225	628	104	20	90	30
138				138	138 祖穆拉恩	map_005	battle_bgm_town	1	8	3	ui_zhuxian_boss_jumo	effect_jingjichangtishi	226	632	104	20	90	30
139				139	139 邪教	map_005	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	227	632	108	20	90	30
140				140	140 邪恶的味道	map_005	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	228	636	108	20	90	30
141				141	141 耐克鲁姆和赛瑟斯	map_005	battle_bgm_town	2	8	3	ui_zhuxian_bigboss_najia	effect_jingjichangtishi	229	640	108	20	90	30
142				142	142 走廊	map_009	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	230	644	108	20	90	30
143				143	143 回音	map_009	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	231	644	112	20	90	30
144				144	144 特迪斯.扭木	map_009	battle_bgm_forest	1	5	3	ui_zhuxian_boss_yuansu	effect_jingjichangtishi	232	648	112	20	90	30
145				145	145 没有尽头	map_009	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	233	652	112	20	90	30
146				146	146 颤抖的空气	map_009	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	234	652	112	20	90	30
147				147	147 海多斯博恩	map_009	battle_bgm_forest	1	5	3	ui_zhuxian_boss_yuansu	effect_jingjichangtishi	235	656	112	21	90	30
148				148	148 控制	map_009	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	236	660	116	21	90	30
149				149	149 局面	map_009	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	237	660	116	21	90	30
150				150	150 托赛德林王子	map_009	battle_bgm_forest	1	2	3	ui_zhuxian_boss_anye	effect_jingjichangtishi	240	672	116	21	100	30
151				151	151 幻觉	map_009	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	241	672	116	21	100	30
152				152	152 杀机	map_009	battle_bgm_forest			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	242	676	116	21	100	30
153				153	153 戈多克大王	map_009	battle_bgm_forest	2	8	3	ui_zhuxian_bigboss_shirenmoguowang	effect_jingjichangtishi	243	680	120	21	100	30
154				154	154 低沉之声	map_019	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	244	680	120	21	100	30
155				155	155 没玩没了	map_019	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	245	684	120	22	100	30
156				156	156 哈扎斯	map_019	battle_bgm_ghostdom	1	8	3	ui_zhuxian_boss_long	effect_jingjichangtishi	246	688	120	22	100	30
157				157	157 预兆	map_019	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	247	688	120	22	100	30
158				158	158 迷失	map_019	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	248	692	124	22	100	30
159				159	159 预言迦玛兰	map_019	battle_bgm_ghostdom	1	8	3	ui_zhuxian_boss_jumo	effect_jingjichangtishi	249	696	124	22	100	30
160				160	160 死亡之触	map_019	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	250	700	124	22	100	30
161				161	161 不安的气息	map_019	battle_bgm_ghostdom			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	251	700	124	22	100	30
162				162	162 哈卡的化身	map_019	battle_bgm_ghostdom	2	2	3	ui_zhuxian_bigboss_haka	effect_jingjichangtishi	252	704	124	23	100	30
163				163	163 异味	map_002	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	253	708	128	23	100	30
164				164	164 包围	map_002	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	254	708	128	23	100	30
165				165	165 血骨傀儡	map_002	battle_bgm_town	1	8	3	ui_zhuxian_boss_wangling	effect_jingjichangtishi	255	712	128	23	100	30
166				166	166 轻敌	map_002	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	256	716	128	23	100	30
167				167	167 轮回	map_002	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	257	716	128	23	100	30
168				168	168 詹迪斯	map_002	battle_bgm_town	1	5	3	ui_zhuxian_boss_anye	effect_jingjichangtishi	258	720	128	23	100	30
169				169	169 威胁	map_002	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	259	724	132	23	100	30
170				170	170 正面出击	map_002	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	260	728	132	24	100	30
171				171	171 莉莉安	map_002	battle_bgm_town	1	5	3	ui_zhuxian_boss_wangling	effect_jingjichangtishi	261	728	132	24	115	30
172				172	172 喋喋不休	map_002	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	262	732	132	24	115	30
173				173	173 无路可走	map_002	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	263	736	132	24	115	30
174				174	174 院长加丁	map_002	battle_bgm_town	2	8	3	ui_zhuxian_bigboss_yuanzhang	effect_jingjichangtishi	264	736	136	24	115	30
175				175	175 包围	map_022	battle_bgm_volcano			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	265	740	136	24	115	30
176				176	176 选择	map_022	battle_bgm_volcano			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	266	744	136	24	115	30
177				177	177 贝尔加	map_022	battle_bgm_volcano	1	8	3	ui_zhuxian_boss_yuansu	effect_jingjichangtishi	267	744	136	24	115	30
178				178	178 奇怪的气息	map_022	battle_bgm_volcano			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	268	748	136	24	115	30
179				179	179 升级	map_022	battle_bgm_volcano			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	269	752	140	25	115	30
180				180	180 伊森迪奥丝	map_022	battle_bgm_volcano	1	2	3	ui_zhuxian_boss_yuansu	effect_jingjichangtishi	270	756	140	25	115	30
181				181	181 麻木之战	map_022	battle_bgm_volcano			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	271	756	140	25	115	30
182				182	182 巨型石柱	map_022	battle_bgm_volcano			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	272	760	140	25	115	30
183				183	183 霍尔雷.黑须	map_022	battle_bgm_volcano	2	5	3	ui_zhuxian_bigboss_airenguowang	effect_jingjichangtishi	273	764	140	25	115	30
184				184	184 永生门	map_016	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	274	764	140	25	115	30
185				185	185 占领	map_016	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	275	768	144	25	115	30
186				186	186 悲惨的提米	map_016	battle_bgm_town	1	5	3	ui_zhuxian_boss_wangling	effect_jingjichangtishi	276	772	144	25	115	30
187				187	187 遗迹	map_016	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	277	772	144	26	125	30
188				188	188 金色大殿	map_016	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	277	772	144	26	125	30
189				189	189 不可宽恕者	map_016	battle_bgm_town	1	2	3	ui_zhuxian_boss_wangling	effect_jingjichangtishi	277	772	144	26	125	30
190				190	190 谜团	map_016	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	277	772	144	26	125	30
191				191	191 复活秘术	map_016	battle_bgm_town			1	ui_zhuxian_xiaoguanka	effect_jingjichangtishi	277	772	144	26	125	30
