type	job	weapon	useIcon	isNew	des	get_type	get_hard	rarity	show	size	name	attack	hp	defend	puncture	hit	dodge	crit	critPercentage	anitCrit	toughness	skill1	skill2	skill3	items	sound	skillword
30011	4	5	ui_yingxiongshengdian_wuqikuangbiaozhi7	0	她是血精灵的大祭司，一生赐福着血精灵的荣耀之殿。虔诚的她早已感觉到了这份不详的气息，这一切的突然对她来说都显得那么苍白！	酒馆获取	4	5	511	80	圣祭祀	509	1100	40	40	80	70	140	100	30	0	31	32	33	[{30011,2}]	voice_30011	word_pihutianshi
30015	1	3	ui_yingxiongshengdian_wuqikuangbiaozhi5	0	恶魔的躯壳下有着一颗满是疮痍的心，恶魔的力量让他失去了双眼，可精灵的灵魂重铸了他的双眸。他誓言要在这次灾难中，找回他失去的一切！	酒馆获取	5	6	515	80	恶魔猎手	227	1600	100	140	80	150	120	120	60	0	60	74	67	[{30015,2}]	voice_30015	word_emojuexing
30012	2	1	ui_yingxiongshengdian_wuqikuangbiaozhi1	0	从遥远的大陆穿越过来的小伙伴，四肢发达头脑简单的他是个天生的战士，坚韧的铠甲就是他的名片。既然来了，他决定帮助大家战胜邪恶！	酒馆获取	5	7	512	80	盖哥	145	2800	150	100	80	60	100	80	120	0	57	73	64	[{30012,2}]	voice_30012	word_morishenpan
30013	2	2	ui_yingxiongshengdian_wuqikuangbiaozhi6	0	大山的孩子，矮人族的将军。由于山神的庇护以及他天生的体魄使他无比的耐揍。他的口号是:"快向我开炮~！"其他的小伙伴都看不下去了！	酒馆获取	5	7	513	80	山丘之王	161	3000	180	20	60	80	60	60	120	0	77	89	65	[{30013,2}]	voice_30013	word_tianshenzhili
30014	4	5	ui_yingxiongshengdian_wuqikuangbiaozhi7	0	巨魔种族中的医师，有着独特的医术，这神秘的技术使得巫医有着特别的治疗方式，最麻烦的是，他们施法前总喜欢先有一些仪式，比如“跳舞”！	酒馆获取	4	5	514	80	巫医	422	1300	40	40	80	70	130	120	30	0	59		66	[{30014,2}]	voice_30014	word_huoshequnwu
30016	1	6	ui_yingxiongshengdian_wuqikuangbiaozhi9	0	跟随着盖伦从异世界来的妹子，酷酷的造型，帅帅的身姿迷倒了万千的善男信女！但是不要小看她，高高的帽檐下总会闪烁着她犀利的眼神！	酒馆获取	4	6	516	80	枪神女警	256	1400	70	100	180	100	100	180	50	0	61	75	68	[{30016,2}]	voice_30016	word_jusha
30017	1	3	ui_yingxiongshengdian_wuqikuangbiaozhi5	0	她是暗夜精灵的监护者，身负着种族的使命，自从恶魔猎手去追寻了恶魔之力后，她就誓言要监视着他，谁又知道在此掩饰下的爱的火花！	酒馆获取	3	4	517	80	守望者	230	1600	60	160	130	180	130	60	40	0	58	76	71	[{30017,2}]	voice_30017	word_daozhen
30018	3	1	ui_yingxiongshengdian_wuqikuangbiaozhi1	0	从天而降的一个神秘人物，自称是神的使者，一身华丽的盔甲包裹着他，总是默默的陪伴在英雄们身边，从而大家也习惯了他的存在！	酒馆获取	3	4	518	80	审判天使	216	1800	150	60	120	110	80	80	120	0	62	72	69	[{30018,2}]	voice_30018	word_shenpanzhihu
30019	1	5	ui_yingxiongshengdian_wuqikuangbiaozhi7	0	亡灵族中伟大的英雄，有着万千亡灵的寒气包围着他的躯体，但是每次战役中他都特别没有存在感，也不知道是不是因为已经死过一次的缘故！	酒馆获取	2	2	519	80	巫妖	370	1400	40	40	80	70	140	140	30	0	63		70	[{30019,2}]	voice_30019	word_siwangdiaoling
30020	1	4	ui_yingxiongshengdian_wuqikuangbiaozhi8	0	兽人族中稀有的红色皮肤，一看就知道他的狂热与野性，他总说：“给我一把利斧，我就能给你们一场漂亮的胜利”虽然不是每次都能兑现！	酒馆获取	4	4	520	80	斧王	162	2465	100	80	70	100	120	90	140	0	78		81	[{30020,2}]	voice_30020	word_shixuekuangbao
30021	1	6	ui_yingxiongshengdian_wuqikuangbiaozhi9	0	皇家矮人火枪队队长，经过军事化训练的他有着更具战术性的天赋和技能，荣耀和信仰从来没有离开过他，他是矮人族的皇家卫队！	酒馆获取	4	4	521	80	火枪戍卫	480	1700	100	140	160	80	80	160	90	0	79	80	82	[{30021,2}]	voice_30021	word_huolijizhong
30022	3	7	ui_yingxiongshengdian_wuqikuangbiaozhi10	0	生活在冰冷的国度的孤儿，她的内心与她的作风一样冰冷，可她从没放弃追寻那一丝温暖的希望，她在用行动表达她对这片大陆的爱！	酒馆获取	4	6	522	80	寒冰射手	267	1400	100	170	140	110	160	30	40	0	83	84	85	[{30022,2}]	voice_30022	word_binghanjujian
30023	1	7	ui_yingxiongshengdian_wuqikuangbiaozhi10	0	受到诅咒的暗夜射手，从来不听从任何人的安排，在她的眼里，只有自己才是邪恶的化身，这场黑暗让她无法容忍，她要证明自己的存在！	酒馆获取	5	7	523	80	黑暗游侠	256	1500	60	170	140	110	180	30	40	0	86	87	88	[{30023,2}]	voice_30023	word_heianzhichao
30024	1	6	ui_yingxiongshengdian_wuqikuangbiaozhi10	1	他不仅仅是一流的工程师，更是一位货真价实的王牌飞行员。面对险阻，他的弹药从来不会留情！	酒馆获取	4	6	524	80	矮人飞行员	216	1600	60	140	160	150	110	150	40	0	91	92	93	[{30024,2}]	voice_30024	word_nuyankongzha
30025	1	3	ui_yingxiongshengdian_wuqikuangbiaozhi10	1	传说中的种族，谦卑而又智慧，他们拥有者独特的能力，古老的伎俩与他们庞大而柔韧的身躯完美的组合，是邪恶的终结者	酒馆获取	5	7	525	80	熊猫	179	2000	70	130	130	140	130	60	120	0	94	95	96	[{30025,2}]	voice_30025	word_panlongti
30026	1	5	ui_yingxiongshengdian_wuqikuangbiaozhi10	1	鲜血与魔法，他虽然走入了歧途，但是他始终无法接受灵魂被邪恶所吞噬，终于，他独立了出来，成为了一个特别的存在	碎片合成	5	8	526	60	血法	359	1500	30	20	100	50	140	150	30	0	97	98	99	[{30026,2}]	voice_30026	word_yuhuofenghuang
39999	1	3	ui_yingxiongshengdian_wuqikuangbiaozhi5	0	恶魔的躯壳下有着一颗满是疮痍的心，恶魔的力量让他失去了双眼，可精灵的灵魂重铸了他的双眸。他誓言要在这次灾难中，找回他失去的一切！	酒馆获取	5	8	515	80	恶魔猎手	227	1600	100	140	80	150	120	120	60	0	60	74	67	[{30015,2}]	voice_30015	word_emojuexing
39998	2	2	ui_yingxiongshengdian_wuqikuangbiaozhi6	0	大山的孩子，矮人族的将军。由于山神的庇护以及他天生的体魄使他无比的耐揍。他的口号是:"快向我开炮~！"其他的小伙伴都看不下去了！	酒馆获取	5	8	513	80	山丘之王	161	3000	180	20	60	80	60	60	120	0	77	89	65	[{30013,2}]	voice_30013	word_tianshenzhili
