id	index	target	pos	caption
75	75	187	2	我的力量来自黑夜！！！
76	76	189	2	只需一点点毒液，我就能让你生不如死。
77	77	191	2	你的四周已经布满了我的丝线。
78	78	192	2	把他们撕成碎片！！！！
79	79	195	2	你们的午饭来了！！
80	80	194	2	居然敢出现在我的面前，渺小的人类！！！
81	81	197	2	你今天就会见识到，巫术的奥妙！！
82	82	200	2	我的强大，不是你们可以触碰的！！！
83	83	206	2	你无法控制我！！
84	84	204	2	我们是自然界最强壮的生物！！
85	85	208	2	把你变弱，然后我们就显得更强大了！！
86	86	213	2	我们的速度，你无法追上！！
87	87	208	2	我擅长进攻，也擅长防守！！
88	88	210	2	图腾照耀着我们！！！！
89	89	20028	2	凭你，也想战胜我？？
90	90	20029	2	奥术的真谛，就是躲在后面用！！！
91	91	20032	2	你们这是在火上浇油！！！
92	92	20080	2	速战速决吧，我们还要去度蜜月呢！！！
93	93	20036	2	最近没什么食欲啊，昨天才吃了5碗
94	94	20038	2	女鬼咖啡厅服务员招募中，你是来应聘的吗？
95	95	20040	2	用魔法把他们轰成碎片！！！
96	96	20083	2	你们把我挡住了，摄像机拍不到啊！！！
97	97	20044	2	媳妇熬成婆的感觉真好。
98	98	20046	2	上吧，我的亡灵大军！！
99	99	20048	2	居然有人类来到这里，正好，兽人和骷髅我已经吃腻了。
100	100	20050	2	我好歹也是个大boss啊，只有两个小弟怎么像样！！！
101	101	20052	2	我会告诉你其实我是个流浪卖艺人？？
102	102	20054	2	凭你，也想战胜我？？
103	103	20055	2	奥术的真谛，就是躲在后面用！！！
104	104	20058	2	你们这是在火上浇油！！！
105	105	20081	2	速战速决吧，我们还要去度蜜月呢！！！
106	106	20062	2	最近没什么食欲啊，昨天才吃了5碗
107	107	20064	2	女鬼咖啡厅服务员招募中，你是来应聘的吗？
108	108	20066	2	用魔法把他们轰成碎片！！！
109	109	20084	2	你们把我挡住了，摄像机拍不到啊！！！
110	110	20070	2	媳妇熬成婆的感觉真好。
111	111	20072	2	上吧，我的亡灵大军！！
112	112	20074	2	居然有人类来到这里，正好，兽人和骷髅我已经吃腻了。
113	113	20076	2	我好歹也是个大boss啊，只有两个小弟怎么像样！！！
114	114	20078	2	我会告诉你其实我是个流浪卖艺人？？
115	115	10002	2	我的魔法会把你燃烧殆尽
116	116	10004	2	咆哮和火焰，让我立于不败之地
117	117	10006	2	我，越战越勇
118	118	10008	2	你没有办法击败我们
119	119	10010	2	防御，就是最好的攻击
120	120	10012	2	网住你们，然后攻击，就像捕鱼一样
121	121	10014	2	杀人，只需要在对方没有知觉的时候来一下
122	122	10016	2	网住你们，然后攻击，就像捕鱼一样
123	123	10018	2	只要有祭师在，娜迦族勇士所向无敌
124	124	10020	2	咆哮和火焰，让我立于不败之地
125	125	10022	2	我的魔法会把你燃烧殆尽
126	126	10024	2	啪的一下，把你砸成肉酱
127	127	10025	2	用我的火焰把你烧成灰
128	128	10028	2	一刀两断
129	129	10030	2	攻防一体，我就是全能的存在
130	130	10032	2	魔法，就是我的生存之道
131	131	10034	2	冲啊，杀掉他们
132	132	10036	2	我会用爪子抓住猎物，然后把他们撕成碎片
133	133	10037	2	在我的力量面前，你的挣扎时毫无意义的
134	134	10040	2	我会把你们砸得比我更矮
135	135	10042	2	这是我最高的发明，无论进攻还是防守都是完美的
136	136	10044	2	这是我最高的发明，无论进攻还是防守都是完美的
137	137	10046	2	在我的力量面前，你的挣扎时毫无意义的
138	138	10048	2	我操控所有的魔法，无论是我的，还是你的
139	139	10050	2	攻击攻击再攻击，这就是胜利的真谛
140	140	10052	2	魔法的力量，在我的掌控之下
141	141	10054	2	敲碎你们！！！！
142	142	10056	2	把你控制住，然后再慢慢折磨
143	143	10058	2	攻击和治愈，最完美的结合
144	144	10060	2	别以为我只有蛮力！！
145	145	10062	2	我胖，但我并不是只有力量！！
146	146	10064	2	别以为躲在后面我就打不到你！！
147	147	10066	2	在魔法的面前，所有生物都是平等的
148	148	10068	2	毁灭在大自然的力量之下吧
149	149	10072	2	我会砸扁你！！！
150	150	10074	2	挡在我面前的一切都会被压扁！！！
151	151	10078	2	只要我还在，我们就是不灭的！！！
152	152	10080	2	岩石，是永恒的存在！！！
153	153	10102	2	把你们砸成肉饼！！！
154	154	10084	2	你以为在我的网里面，你还能战胜我吗？？
155	155	10086	2	把你切成碎片！！！
156	156	10088	2	力量，力量！！！！
157	157	10090	2	我深知魔法的奥秘！！！
158	158	10092	2	不用害怕，我会治愈一切伤痛
159	159	10094	2	咆哮和火焰，让我立于不败之地
160	160	10092	2	用魔法把你们毁灭！！！
161	161	10094	2	用魔法把你们毁灭！！！
162	162	10100	2	森林的力量，让你见识一下！！！
163	163	10102	2	大自然之威！！
164	164	10104	2	战胜伤痛，我们就能战胜敌人
165	165	10102	2	去吧，把他们砸成肉饼！！！
166	166	10108	2	虽然我还小，但我已经拥有龙类的力量！！！
167	167	10110	2	让我的魔法毁灭你！！
168	168	10102	2	你只是蝼蚁！！！消失吧！！！
169	169	10104	2	你觉得自己变弱了吗？？那就对了
170	170	10106	2	我要把你切成碎片！！！
171	171	10108	2	下一个瞬间，你已经死了！！
172	172	10120	2	我的寒冷，连空气也颤抖！！！
173	173	10122	2	谁也不能阻挡我们的去路！！！
174	174	10124	2	燃烧吧，那我就会越来越强大！！！
175	175	10126	2	说我们是矮子？？我会让你比我更矮！！！
176	176	10128	2	我会变得更强大，而你们，会死在这里！！
177	177	10130	2	魔法的力量，就是元素的力量！！
178	178	10132	2	死亡，会让我更强大
179	179	10134	2	用力量啦碾压你们！！！
180	180	10136	2	不死军团的强大，你马上就会知道了！！！
181	181	10138	2	碾碎你们，好比碾碎一只蚂蚁！！！
182	182	10140	2	我都蛛丝会让你们无法动弹！！
183	183	10142	2	一棒子把你们打蒙，然后再吃掉！！
184	184	10144	2	蝼蚁不要阻挡我们的去路。
185	185	10146	2	兽人军团，比你想象中更强大！！！
186	186	10148	2	把龙带过来，毁灭他们！！
187	187	10150	2	你知道吗？？你惹怒了一条龙！！！
188	188	10152	2	在我们的力量面前，等待你的只有死亡！！
189	189	10154	2	我的力量来自黑夜！！！
190	190	10156	2	只需一点点毒液，我就能让你生不如死。
191	191	10158	2	你的四周已经布满了我的丝线。
192	192	10160	2	把他们撕成碎片！！！！
193	193	10162	2	我们的午饭来了！！
194	194	10164	2	居然敢出现在我的面前，渺小的人类！！！
195	195	10166	2	你今天就会见识到，巫术的奥妙！！
196	196	10168	2	我的强大，不是你们可以触碰的！！！
197	197	10170	2	你无法控制我！！
198	198	10172	2	我们是自然界最强壮的生物！！
199	199	10174	2	把你变弱，然后我们就显得更强大了！！
200	200	10176	2	我们的速度，你无法追上！！
201	201	10174	2	我擅长进攻，也擅长防守！！
202	202	10176	2	图腾照耀着我们！！！！
203	203	30101	1	碰到我们，算你倒霉！
204	203	30102	2	你们会为你们的狂妄自大付出代价的！
205	203	30107	1	跟我的铁锤说去吧!
206	203	30106	1	别废话
207	203	30105	1	一刀两断！！
208	203	30109	1	我必须审判你们！
209	203	30102	2	你太天真了！
210	204	30101	1	我要赶去支援乌瑟尔了，你们自己小心。
211	204	0	1	快去吧！要活着！
212	205	30102	2	自以为是的杂碎
213	206	30201	1	你要为你的罪行付出代价！
214	207	30202	2	没用了，斯坦索姆就要被瘟疫淹没了，哈哈哈哈。
215	208	30202	2	看来你们都知道了，不过已经晚了！
216	209	30301	1	我们还是来晚了。
217	209	30303	1	啊。。。。。噢。。。。。。
218	210	30301	1	我们只杀掉了，变成亡灵的人。其他人也有感染的危险。
219	210	30302	1	你想要干什么？
220	210	30301	1	你知道我在说什么，只有一个办法能阻止瘟疫蔓延。
221	210	30302	1	我绝不同意你这么做。
222	210	30301	1	作为一个圣骑士，我别无选择。
223	210	30302	1	你变了。
224	211	30303	2	为了巫妖王！
225	212	30401	2	打败我们你就能得到霜之哀伤。
226	212	30402	1	那是当然。
227	213	30402	1	你们还想守护这把剑吗？
228	213	30401	2	我们想守护的是你。
229	213	30403	2	霜之哀伤上附有强大的邪恶诅咒，你最好不要碰它。
230	213	30402	1	为了死去的人民，无论什么样的诅咒，我都愿意承担！
231	213	30501	1	对，就是这个力量，拥有了他，我就可以保护着我的人民了！
232	213	30403	1	不，你怎么了，我的孩子！
233	213	30501	2	通向力量的道路上，必须会有牺牲品~哼哼！
234	213	-1	1	啊~~~~
231	214	30401	2	为了巫妖王！
232	215	30502	2	霜之哀伤为什么在你手上。
233	215	30501	1	因为我要杀死你，为洛丹伦的冤魂复仇。
234	216	30502	2	别高兴得太早了，你将因霜之哀伤而堕落。
235	216	30501	1	为了复仇我不惜一切代价。
236	217	30502	2	为了巫妖王！
237	218	30602	1	没想到你竟堕落成巫妖王的走狗！
238	218	30601	2	你们永远无法阻挡我。
239	220	30602	1	阿尔萨斯已经死了。
240	220	30601	2	阿尔萨斯是谁？
241	220	30603	2	为了巫妖王！
242	221	30701	2	你们这是自寻死路！
243	221	0	1	你是谁？
244	221	30702	1	真不敢相信眼前的你就是我的兄弟。他们对你做了什么？
245	221	30701	2	这是我自己的选择，我要以自己的能力对抗天灾军团，谁也不能阻止我。包括你，我的哥哥。
246	221	30702	1	作为一个暗夜精灵，我无法容忍你的堕落，你必须跟我回去。
247	221	30701	2	那就要看你有没有这个能力了，大德鲁伊。
248	222	30701	2	不愧是我的哥哥，不过你没那么容易抓到我的。
249	222	30702	1	我还是低估了他，以后遇到他千万要小心。
250	224	0	1	你这个恶魔来到这儿有什么企图？
251	224	30801	2	哼，告诉你们也无妨，我要用萨格拉斯之眼引导强大的法术，那时我将拥有无穷的能量。
252	224	30802	1	我的兄弟，我不会允许你这么做的。
253	224	30801	2	怎么哪都有你？
254	224	30803	1	这次你可跑不掉了。
255	224	30801	2	真是麻烦。
256	225	30802	1	这次你还有什么借口？
257	225	30801	2	我只是想要摧毁冰封王座和巫妖王。
258	225	30802	1	不管你是否有所隐瞒，你现在必须跟我们回去。
259	227	30903	2	啊。。。。。噢。。。。。。
260	227	0	1	你怎么会在这里？
261	227	30901	2	少废话！
262	227	30902	1	这次他是来帮我们的。
263	228	30902	1	我不会再计较你的危险魔法，但绝不会允许你威胁到整个暗夜精灵种族。
264	228	30901	2	既然如此，后会有期了，我的哥哥。
265	230	0	1	又是你，这次你又想干什么？
266	230	31001	2	凭你们也想给我打一架吗？
267	230	0	1	打就打，怕你不成？
268	230	31001	2	那就让你们见识一下。
269	232	31001	2	没有玛法里奥帮忙，你们没机会赢的，现在知道了吧，自己差得远呢。
270	232	0	1	既然你有如此的能力，刚才为何没有杀死我们？莫非你的堕落是有目的的？
271	232	31001	2	哼，自作聪明!
272	233	31101	2	你是谁？为什么要救伊利丹？
273	233	31102	1	凯尔萨斯逐日者，血精灵领袖。为了我的族人而营救伊利丹。
274	233	31101	2	被他的花言巧语骗了吧。
275	233	31102	1	为了血精灵，我别无选择。
276	234	31102	1	对不起，我们要带走伊利丹了。
277	234	31101	2	放了伊利丹你们会后悔的。
278	235	31101	2	你们不会得逞的。
279	236	31202	2	早就知道你野心勃勃，没想到你也敢打我的主意。
280	236	31201	1	乖乖把黑暗神殿让出来，我可以饶你不死。
281	236	31202	2	你的死期到了！
282	237	31202	2	不可能，我才是外域的主人。啊……
283	237	31201	1	我想基尔加丹也快来了吧，最后的战役也不远了。
284	238	31202	2	外域我说了算！
285	239	31301	1	已经可以看见冰封王座了，只要摧毁它巫妖王就不存在了。
286	239	31302	2	痴心妄想！
287	239	31301	1	你果然来了。
288	239	31302	2	巫妖王是我的，谁都不能摧毁它。
289	239	31301	1	挡我者死！
290	239	31302	2	你输定了！
291	241	31302	2	我说过你输定了！
292	241	31301	1	赢我的是霜之哀伤，不是你。
293	241	31302	2	巫妖王，我来了。
294	241	31301	1	事态越发不可收拾了，现在要打败阿尔萨斯需要更强大的的力量。
295	242	0	1	就是这里了吧？这里充斥着愤怒的火焰，果然是个邪恶的地带！
296	242	25	2	首领！又来了新客人了
297	242	26	2	好好招待他们。
298	242	0	1	快说，附近冒险者的失踪是不是你们干的好事？
299	242	26	2	让我的斧子来回答你的问题吧！
300	243	0	1	这里似乎没有失踪者的踪影，可他的那番话到底又是什么意思？
301	243	0	1	这是什么声音？撕心裂肺的哀嚎声从远方传来
302	244	26	2	就你们这种实力，还敢来向我提问？
303	244	26	2	你们只陪给我磨磨斧头！
304	245	0	1	这里阴风飒飒，太吓人了。早知道不来了，真是太受罪了
305	245	0	1	不说没用的了，赶快探寻一下失踪者的下落
306	245	223	2	啊，噜噜噜噜噜~~~~
307	245	63	2	老大，入侵者！不能让他们来打搅我们
308	245	223	2	啊，噜噜噜~~~~
309	245	65	2	他们看起来都很弱的样子，不用害怕
310	245	223	2	啊啊啊啊啊啊啊，噜噜噜噜噜噜噜噜噜噜噜
311	245	0	1	看来想要搜寻下去，这场战斗是必须打的了
312	246	0	1	鱼人和娜迦的组合？太奇怪了
313	246	0	1	这是什么矿石？为什么这里会有矿石？
314	246	0	1	我想我知道是哪里出产的这种矿石
315	247	65	2	这附近出没的外人越来越多了，什么时候才可以摆脱这个鬼地方
316	247	63	2	快了，之前主人说过时日不多了！
317	247	223	2	。。。。。
318	248	0	1	这里应该已经废弃很久了，可为什么有这么多苦工在这里开采？
319	248	0	1	非法开采赚外块？
320	248	0	1	不对，我想应该没那么简单！
321	248	58		快给我抓住他们！啊噜噜噜噜！
322	248	0	1	这么又是鱼人！
323	248	0	1	而且还会说话！
324	249	0	1	又是鱼人，黏糊糊的最恶心了！
325	249	0	1	这里似乎又个港口？为什么这里会有港口？
326	249	0	1	我们顺着水流的方向去看一看吧！
327	250	58	2	不能让人知道这里的秘密。啊噜噜噜！
328	250	58	2	快把这里打扫干净，噜噜
329	251	0	1	这里很深邃的样子！总有一种不祥的预感
330	251	115	2	看来~~~~矿井那边出事了！！
331	251	115	2	不过没关系~~~~尽快收拾了你们，我在去恢复矿井的正常施工！
332	251	0	1	兽人的异教徒？
333	252	0	1	原来这里的苦工都是附近的失踪者
334	252	0	1	只是他们被可恶的异教徒蒙蔽了！
335	252	0	1	赶快回城先吧，我们这次出来的太久了
336	253	115	2	看来要加大防御力度了！总有这些无聊的人来捣乱！
337	253	115	2	快去附近再抓一些人会来，我们的产量不能减少！
338	254	72	2	这些守卫弱爆了，兄弟们，自由在等待着我们
339	254	69	2	跟着大哥混！冲出去！！
340	254	0	1	监狱怎么会突然暴乱？看这食人魔傻乎乎的样子，一定是有人在幕后操纵
341	254	0	1	不想那么多了，先收拾他们！
342	255	0	1	这是什么？？这里怎么会有这种印记
343	255	0	1	我似乎在什么地方看到过
344	255	0	1	对了，影牙城堡！如果真的是一样的那可就出大事了。
345	255	0	1	我们必须去反复确认一下
346	256	69	2	哈哈，我们就要自由啦！！！
347	256	72	2	我的应该没什么能挡住我们了！
348	256	72	2	越狱这么简单的事情，为什么我20年了都没想到呢？
349	257	0	1	这里都荒废好久了，从这里的鬼魂身上，还能感受到他们对昔日的不满于怨念。
350	257	0	1	每次想到这里，都不禁让人觉得哀伤
351	257	20	2	你们昔日抛弃了我们，为什么还要回来撕开我们的伤疤！
352	257	0	1	男爵，你要听我们的解释！
353	257	20	2	还有什么好听的，把你们的灵魂留下吧！
354	257	20	2	然后再慢慢跟我说你们所谓的理由！
355	258	0	1	这个印记我记得好像在那个大厅的墙壁上。
356	258	0	1	这两个印记还是有所差别的，但是可以确定的是，它一定出自同一个人的咒语
357	258	0	1	近些年出现异样的城市还有诺莫瑞根和激流堡，激流堡是军事叛变造成的覆灭，而诺莫瑞根至今都是一个迷
358	258	0	1	我想这么大的事情不可能有很多人能做到。诺莫瑞根一定藏着什么秘密
359	259	20	2	哈哈，子民们，我们又有了新的伙伴了。
360	259	20	2	我说过，不会再让你们孤独下去，还会有更多的灵魂加入我们的！
361	260	0	1	这里的瘟疫病毒好像早已散去了
362	260	0	1	也不知道是谁更可怜，影牙的子民只剩下记忆，而这里的人们只剩下了躯壳！
363	260	222	2	警报，警报！发现入侵者
364	260	59	2	什么？我才是最聪明的发明家！你们这些看不起我的人都要付出代价
365	261	0	1	果然这里也有类似的印记
366	261	-1	1	将三个印记重叠后，英雄们顿时愁眉不展了起来！
367	261	0	1	难道是他？
368	261	0	1	不管他在谋划着什么，我们必须先下手为强！
369	262	59	2	我说过了，只有我才能引领科技潮流
370	262	59	2	怀疑我的人，都知能是这个下场！
371	262	59	2	我想，我能发明一部机器，他能随身携带，还能跟机器的另一端及时通话。
372	262	59	2	虽然还没发明出来，但是我想，他应该叫APPLE！
373	263	0	1	按照线人的报告来看，就在这附近闻到过他的气息
374	263	0	1	这里到处都是昏暗的灯光和鲜红的地毯，确实很符合他的特性
375	263	0	1	我们必须抓紧时间把他找出来！
376	263	19	2	还没有人能不经我同意的前提下活着离开这里！
377	263	19	2	既然来了，就别走了，你们的鲜血会是很好的贡品！
378	264	0	1	这里仿佛就这么大了，看来他早已离开了这里
379	264	0	1	等等，那是什么？
380	264	-1	1	在大厅的侧边发现了一道暗门
381	264	0	1	我想真正的战斗才刚刚开始
382	265	19	2	鲜血让我更加的强大~~~哈哈哈哈哈
383	265	19	2	你们应该为你们感到骄傲
384	265	19	2	不是所有人的鲜血都有资格成为贡品的！
385	266	0	1	这里原来是个修道院
386	266	0	1	看来他们所谓的贡品就是放在这里。
387	266	0	1	你们到底是什么人？居然敢踏入这神圣的殿堂？
388	266	5	2	出来吧我的勇士！
389	266	211	2	为你而战，我的女士！
390	266	0	1	他们到底是什么关系？
391	267	0	1	这里除了莫名的贡品和一个恶魔圣坛没有别的发现了
392	267	0	1	线索难道到这里就断了么？
393	267	0	1	先回主城看一下有什么新的线索吧！
394	268	211	2	我的女士，你没事吧？他们这点能耐是
395	268	5	2	他们这点能耐是伤害不到我的！哼哼~
396	268	211	2	那我们快进屋继续吧！
397	268	5	2	死鬼
398	269	0	1	可恶的豪猪人，一波未平一波又起。这个时候撕毁合约，只能暂时放下恶魔的事了
399	269	0	1	不过也可能这些事情有一些的关联！
400	269	133	2	这该死的和平！我已经忍耐了太久了
401	269	133	2	你们来到这里也只是计划的一部分！
402	269	133	2	你们做的很好，下一步的安排，你们可能没有机会知道了！
403	269	0	1	我早就说过，豪猪人的合约完全都是废纸，他们甚至连字都看不懂！
404	270	0	1	看来这里真的跟恶魔有关系，这一连串的事件应该还有我们不知道的事情！
405	270	0	1	不知道下来又会发生什么~？
406	270	0	1	对了，之前似乎玛拉顿的前哨战出问题了！先去看一下吧！
407	271	133	2	跟计划的一模一样，哼哼哼，和平？你们太天真了！
408	271	133	2	快去把消息通报顶上的使者！
409	272	0	1	前哨战里一个人影都没有，可能是在巡逻的时候出了什么事
410	272	71	2	我最美丽！！！！！
411	272	0	1	这是什么声音？
412	272	71	2	啊？新的面孔，正好，你们说我是不是最美丽的公主？
413	272	0	1	这个。。。。
414	272	71	2	你们居然犹豫了！你们不是好人。快给我滚出去！
415	273	0	1	这是泰坦的公主么？这么巨大？
416	273	0	1	不管她是不是泰坦，他使用的能量里确实有泰坦的味道
417	273	0	1	奥达曼的泰坦一向很不稳定，这里的事情他们应该知道一些内幕
418	274	71	2	你们这些不懂得审美和艺术的人，就不应该存活在这个世界上！
419	274	71	2	这下你们应该知道，我才是最美丽的了吧！
420	275	0	1	这里怎么跟迷宫一样
421	275	0	1	泰坦都藏到哪去了？这么庞大的泰坦怎么会这么难找！
422	275	140	2	听说你们在找泰坦？
423	275	140	2	这里已经被我们黑铁矮人占领了，泰坦什么的到别处找去吧！
424	275	140	2	兄弟们，送客！
425	275	38	2	好的，火锤！！
426	276	0	1	这里真的找不到泰坦，到底怎么了？是我太久没有出来走动了么？怎么都跟我以前理解的不一样？
427	276	0	1	线索不应该就这样断了
428	276	0	1	这个是什么？
429	276	0	1	一个施工图？
430	276	0	1	《剃刀工程图》？这里难道是仿造剃刀的构架建造的？
431	276	0	1	那么我们上次在这里，后面这一片地方是什么？看来剃刀那边还有其他的线索
432	277	140	2	妨碍我们施工的人都要赶出去！
433	277	140	2	我们的工程是完美的，不能让别人在完工前指指点点！
434	278	0	1	这里居然有亡灵，我就知道这里没那么简单
435	278	0	1	山顶上到底是什么？
436	278	221	2	什么？入口的机关那么隐蔽，他们是怎么知道的？
437	278	221	2	算了，来就来吧。来尝尝我刺骨的寒冰吧!
438	278	0	1	这寒气，早知道多传点衣服再来了！
439	279	0	1	这些骨堆，难道这个亡灵是被复活过来的？
440	279	0	1	这里好像经历过一场很盛大的仪式！
441	279	0	1	这些图腾是巨魔的产物
442	279	0	1	哈哈，我说什么来着，这图腾上的帆布上斜着几个单词，意思是“祖尔”
443	280	221	2	我的力量似乎还没完全恢复~~！！不过对付你们那是绰绰有余
444	280	221	2	祭奠我的寒冰之气吧！
445	281	0	1	这里让人毛骨悚然的，古老的遗迹总是让人觉得不自在
446	281	0	1	最关键的是，这里的巨魔好像不太欢迎我们！
447	281	84	2	你们也是来窃取我们神圣巫术的么？耐克鲁姆消灭他们！
448	281	87	2	赛瑟斯，我觉得你不应该这么急，先把他们给我做做研究吧！
449	281	84	2	你个笨蛋，你可以复活他们慢慢研究！
450	281	87	2	哦，赛瑟斯，还是你聪明
451	282	0	1	窃取？似乎亡灵的复活他们并没有参与。
452	282	0	1	不过好在确认了这个事情
453	282	0	1	我们不能让更多的亡灵复苏
454	282	0	1	这种巫术仪式需要大量的素材，这附近最爱收集素材的就是食人魔了
455	282	0	1	我们必须先说服他们，才能安心的离开这里！
456	283	84	2	耐克鲁姆，你这下就有了新的尸体了
457	283	87	2	赛瑟斯，我太激动了~！
458	284	0	1	食人魔都是没脑子的，就跟监狱里的那些食人魔一样！
459	284	0	1	看来只有跟他们的国王了，希望他不是个傻子！
460	284	73	2	你们就是不经许可进入我厄运之锤的人？
461	284	73	2	来人！快拿去喂狗！
462	284	0	1	我就知道，他们全国都是没脑子的！
463	285	151	2	恭喜你，成为了我们的新国王
464	285	0	1	什么？新国王？这是怎么回事
465	285	72	2	因为你战胜了我们的上一任国王，所以你已经成为我们现任的国王了
466	285	0	1	这。。。。是不是所有的食人魔都将听我的命令？
467	285	72	2	是的，我尊敬的国王
468	285	0	1	所有的国民不得帮助任何邪恶势力收集素材！！
469	285	151	2	遵命，我们尊敬的国王
470	286	73	2	我才是这里的国王！
471	286	73	2	不要妄想夺取我的王位！！！
472	286	72	2	国王大人万岁！
473	287	0	1	这里就是祖尔圣坛的原型了！
474	287	0	1	果然跟祖尔的祭坛一模一样！
475	287	0	1	看来这里跟巫术中的复活之术也有着千丝万缕的关系！
476	287	44	2	是谁来打扰我的睡眠
477	287	44	2	在我复活之前，亵渎我灵魂的人多要死！
478	287	0	1	这，这是哈卡么？
479	287	0	1	不对，这应该只是他的灵魂，没时间多想了！
480	288	0	1	还好这只是哈卡的灵魂，不然按照我们的能力是不可能获胜的
481	288	44	2	你们居然亵渎我的灵魂！你们会付出代价的！
482	288	0	1	我们必须赶快回去，这件事恐怕会超出我们的控制范围！
483	289	44	2	你们就用死来祈福我的重生吧！
484	289	44	2	只要在过一小段时间，只要一小段！！！
485	290	20048	2	你不要妄想控制我！我的军团只听令于我~！
486	290	159	2	等你情绪平复了我们再沟通吧！
487	290	159	2	这该死的老东西！
488	290	159	2	谁？谁在偷听？
489	290	159	2	现在是上课时间！是谁给了你们胆量到处乱跑？
490	290	159	2	对于你们这些不听话的学生，我必须用你们的灵魂给其他学员们做一个示范了！
491	291	0	1	这里的力量和哈卡身上给人感受到的不一样！
492	291	0	1	但是刚才那个声音是谁？很耳熟的样子。
493	291	0	1	看来是那个不老实的老朋友！
494	292	159	2	看到没有，不好好上课的学生就是这个下场！
495	292	159	2	他们好像知道将军的身份了！不能留活口！
496	293	0	1	这里太混乱了，为什么全是黑铁矮人
497	293	39	2	你们来这里干什么！这里不欢迎你们
498	293	0	1	我们来找红龙将军叙叙旧的！
499	293	39	2	我不管你们来干什么的！碰上我，算你们运气不好！
500	294	0	1	黑铁矮人都是一根经！
501	294	0	1	话说回来，这倒铁门是怎么回事？
502	294	0	1	记得铁门的钥匙尘封在了昔日的斯坦索姆里！
