id	avatar	moveSpeed	attackTime	attackMusic	attackType	attackEffect	underAttackEffect	weaponID	photo	card	half_photo
185	role_185	90	1129	gedou	2	skill_2009	skill_102		photo_185		portrait_185
524	role_524	150	339	gedou	2	skill_2012	skill_126		photo_524		portrait_524
525	role_525	110	1018	gedou	3		skill_101		photo_525		portrait_525
526	role_526	90	1545	gedou	2	skill_2009	skill_102		photo_526		portrait_526
186	role_186	110	1140	gedou	2	skill_2012	skill_126		photo_186		portrait_186
187	role_187	30							photo_187
188	role_188	110	737	gedou	3		skill_101		photo_188		portrait_188
189	role_189	110	737	gedou	2		skill_101		photo_189		portrait_189
190	role_190	110	517	gedou	3		skill_101		photo_190		portrait_190
191	role_191	110	344	gedou	4		skill_101		photo_191		portrait_191
192	role_192	110	790	gedou	2	skill_2012	skill_126		photo_192		portrait_192
193	role_193	110	1700	gedou	3		skill_101		photo_193		portrait_193
194	role_194	30							photo_194
195	role_195	30							photo_195
515	role_515	140	1333	gedou	3		skill_101		photo_515		portrait_515
512	role_512	120	440	gedou	3		skill_101		photo_512		portrait_512
513	role_513	110	890	gedou	3		skill_101		photo_513		portrait_513
514	role_514	90	1300	gedou	4		skill_106		photo_514		portrait_514
516	role_516	90	1530	gedou	2	skill_2012	skill_126		photo_516		portrait_516
517	role_517	150	890	gedou	3		skill_101		photo_517		portrait_517
518	role_518	130	800	gedou	2		skill_101		photo_518		portrait_518
519	role_519	90	1300	gedou	2	skill_2009	skill_102		photo_519		portrait_519
520	role_520	130	591	gedou	3		skill_101		photo_520		portrait_520
521	role_521	90	343	gedou	2	skill_2012	skill_126		photo_521		portrait_521
522	role_522	170	868	gedou	2	skill_2013	skill_102		photo_522		portrait_522
523	role_523	90	1470	gedou	2	skill_2014	skill_136		photo_523		portrait_523
1001	role_1001	110	737	gedou	3		skill_101		photo_1001		portrait_1001
1002	role_1002	110	737	gedou	3		skill_101		photo_1002		portrait_1002
1003	role_1003	110	737	gedou	3		skill_101		photo_1003		portrait_1003
1004	role_1004	110	737	gedou	3		skill_101		photo_1004		portrait_1004
1005	role_1005	110	737	gedou	3		skill_101		photo_1005		portrait_1005
1006	role_1006	110	737	gedou	3		skill_101		photo_1006		portrait_1006
1007	role_1007	110	737	gedou	3		skill_101		photo_1007		portrait_1007
1008	role_1008	110	737	gedou	3		skill_101		photo_1008		portrait_1008
1009	role_1009	30	1400		2		skill_101		photo_1009		portrait_1009
1010	role_1010	30			2		skill_101		photo_1010		portrait_1010
1011	role_1011	30			2		skill_101		photo_1011		portrait_1011
1012	role_1012	30							photo_1012		portrait_1012
1013	role_1013	30	934	gedou	2	skill_2011	skill_126		photo_1013		portrait_1013
