type	level	coin	tired	rise
10	2	1560	0	1.17
10	3	2028	0	1.14
10	4	2637	0	1.13
10	5	3428	0	1.12
10	6	4799	60	1.11
10	7	6238	180	1.1
10	8	8110	300	1.09
10	9	10542	1000	1.09
10	10	11705	2000	1.09
10	11	12816	2500	1.09
10	12	14161	3600	1.09
10	13	16793	4200	1.09
10	14	17572	5000	1.09
10	15	18754	8000	1.09
11	1	1300	0	1.22
11	2	1560	0	1.17
11	3	2028	0	1.14
11	4	2637	0	1.13
11	5	3428	0	1.12
11	6	4799	60	1.11
11	7	6238	180	1.1
11	8	8110	300	1.09
11	9	10542	1000	1.09
11	10	11705	2000	1.09
11	11	12816	2500	1.09
11	12	14161	3600	1.09
11	13	16793	4200	1.09
11	14	17572	5000	1.09
11	15	18754	8000	1.09
12	1	1300	0	1.22
12	2	1560	0	1.17
12	3	2028	0	1.14
12	4	2637	0	1.13
12	5	3428	0	1.12
12	6	4799	60	1.11
12	7	6238	180	1.1
12	8	8110	300	1.09
12	9	10542	1000	1.09
12	10	11705	2000	1.09
12	11	12816	2500	1.09
12	12	14161	3600	1.09
12	13	16793	4200	1.09
12	14	17572	5000	1.09
12	15	18754	8000	1.09
13	1	1300	0	1.22
13	2	1560	0	1.17
13	3	2028	0	1.14
13	4	2637	0	1.13
13	5	3428	0	1.12
13	6	4799	60	1.11
13	7	6238	180	1.1
13	8	8110	300	1.09
13	9	10542	1000	1.09
13	10	11705	2000	1.09
13	11	12816	2500	1.09
13	12	14161	3600	1.09
13	13	16793	4200	1.09
13	14	17572	5000	1.09
13	15	18754	8000	1.09
14	1	1300	0	1.22
14	2	1560	0	1.17
14	3	2028	0	1.14
14	4	2637	0	1.13
14	5	3428	0	1.12
14	6	4799	60	1.11
14	7	6238	180	1.1
14	8	8110	300	1.09
14	9	10542	1000	1.09
14	10	11705	2000	1.09
14	11	12816	2500	1.09
14	12	14161	3600	1.09
14	13	16793	4200	1.09
14	14	17572	5000	1.09
14	15	18754	8000	1.09
15	1	1300	0	1.22
15	2	1560	0	1.17
15	3	2028	0	1.14
15	4	2637	0	1.13
15	5	3428	0	1.12
15	6	4799	60	1.11
15	7	6238	180	1.1
15	8	8110	300	1.09
15	9	10542	1000	1.09
15	10	11705	2000	1.09
15	11	12816	2500	1.09
15	12	14161	3600	1.09
15	13	16793	4200	1.09
15	14	17572	5000	1.09
15	15	18754	8000	1.09
